target,capacity,fitness,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
GA_1.0,9606,471.6000061035156,3.0399999618530273,1000.0,987.0,510.1600036621094,4.0,3.0,287.4194030761719,520,665,134,338,783,597,211,674,480,158,98,454,941,4,67,56,579,89,938,419,724,208,420,979,191,867,742,1000,823,46,965,707,370,842,441,533,622,718,337,557,624,253,461,248,719,517,195,192,262,829,435,533,619,881,490,792,42,963,779,194,359,58,884,365,748,318,912,878,574,185,771,228,762,565,511,787,690,33,42,987,480,702,29,642,544,800,3,541,177,699,462,361,290,700,452,876,641,795,53,787
GA_1.0,9115,3781.763916015625,2.7099997997283936,992.0,906.0,480.4800109863281,4.0,3.0,260.72125244140625,684,342,134,338,57,613,104,557,480,740,64,454,560,4,870,426,32,89,789,419,903,208,203,214,191,867,742,198,325,850,965,467,370,359,992,153,622,324,980,362,624,392,461,570,559,517,427,750,262,368,834,533,619,881,490,69,659,89,645,48,359,906,516,670,407,318,487,238,574,185,595,228,762,858,511,787,185,832,42,600,622,785,214,642,544,664,3,541,177,699,543,361,290,416,452,876,641,588,295,787
GA_1.0,11271,60.98994445800781,0.6800000071525574,992.0,981.0,501.0,16.0,33.0,271.0810241699219,684,715,53,142,57,508,211,557,480,409,64,511,560,734,870,426,32,16,402,419,959,208,203,462,296,819,730,198,49,479,965,463,458,885,992,969,622,375,942,362,685,392,461,570,559,517,427,990,586,829,459,533,616,881,490,173,906,89,261,48,359,906,516,670,981,627,487,666,574,177,595,51,327,565,511,787,690,33,501,600,480,71,214,699,886,800,752,541,177,483,169,382,148,416,452,876,291,795,300,787
GA_1.0,15236,7343.15087890625,2.629999876022339,992.0,906.0,476.1300048828125,4.0,3.0,262.8029479980469,684,665,53,142,57,508,211,557,480,409,64,454,560,4,870,426,32,89,402,419,903,208,203,462,191,819,730,198,49,46,965,707,458,885,992,153,622,718,942,557,685,392,461,570,559,517,427,750,586,829,389,533,616,881,490,173,906,89,261,48,359,906,516,670,407,627,487,238,574,185,595,228,327,565,511,787,690,33,501,600,480,785,214,642,544,800,3,541,177,483,169,361,290,416,452,876,641,795,295,787
GA_1.0,9626,3845.354736328125,0.7099999785423279,981.0,995.0,507.8999938964844,3.0,18.0,290.6589660644531,520,342,53,97,783,613,211,835,480,158,64,454,560,4,870,3,579,69,934,419,959,745,615,979,668,867,981,115,325,850,434,467,370,842,441,533,73,718,337,362,624,253,461,777,188,576,427,192,262,829,834,533,981,881,490,792,42,963,522,194,665,433,884,365,748,318,912,18,574,664,595,228,945,565,511,604,690,33,632,987,622,190,23,642,544,664,958,62,177,54,79,361,595,416,995,234,641,588,402,622
GA_1.0,9779,4410.04443359375,3.18999981880188,1000.0,987.0,531.4299926757812,3.0,3.0,292.67730712890625,896,342,53,97,57,613,104,835,480,740,98,454,560,486,67,3,579,69,934,419,959,208,615,979,668,867,742,1000,823,850,965,707,370,359,441,459,622,324,980,557,624,100,461,777,719,517,427,192,684,368,435,533,981,881,490,69,42,783,779,797,665,58,885,365,748,318,912,878,574,664,771,475,762,858,511,604,690,33,42,987,622,702,29,185,886,800,3,541,248,699,462,480,290,416,452,234,826,588,53,787
GA_1.0,7269,6158.0205078125,0.44999998807907104,992.0,981.0,514.3499755859375,4.0,33.0,275.19110107421875,684,715,134,338,57,597,104,674,480,158,64,454,941,4,949,426,32,89,934,419,903,208,420,462,668,36,742,198,49,46,550,467,882,842,992,153,676,718,980,716,624,392,461,570,559,517,432,750,684,829,389,533,981,556,837,173,659,963,645,797,114,906,516,818,407,216,782,238,574,185,771,228,762,565,511,787,381,33,632,912,480,190,214,699,544,800,752,541,248,483,543,361,290,416,452,234,826,795,295,622
GA_1.0,8205,6978.21142578125,3.2799999713897705,1000.0,963.0,490.8800048828125,4.0,3.0,295.0102233886719,684,665,134,338,724,597,104,557,480,158,64,604,941,4,67,426,579,89,934,983,903,745,420,214,191,867,763,1000,49,46,965,707,882,842,441,459,676,718,980,716,624,253,461,248,559,517,432,750,262,702,834,533,619,556,490,931,42,963,261,48,114,58,516,818,407,318,487,18,340,185,771,228,762,234,515,483,381,33,632,912,480,785,214,699,544,800,3,541,248,483,79,41,148,416,452,876,641,950,53,622
GA_1.0,16095,9292.7490234375,3.2100000381469727,981.0,987.0,510.7099914550781,9.0,3.0,290.285888671875,896,342,134,97,783,597,9,557,480,158,64,960,560,486,870,56,579,89,934,419,959,745,420,195,668,867,981,115,325,46,965,467,882,359,441,533,622,718,980,362,624,100,284,777,188,517,432,750,684,702,834,533,981,881,490,69,659,783,645,797,359,58,885,670,407,627,782,238,340,664,771,475,762,234,515,483,185,33,42,987,622,785,23,642,544,800,3,541,177,699,462,41,290,700,452,234,826,588,53,622
GA_1.0,15565,6.408601805391509e+24,1.5799999237060547,1000.0,981.0,478.8999938964844,4.0,18.0,300.7029113769531,684,715,134,338,724,597,104,674,668,158,359,604,941,4,67,521,579,16,789,648,959,745,420,823,668,36,763,1000,356,46,550,467,370,842,992,459,676,718,55,716,624,98,284,777,719,517,347,750,684,702,389,28,619,309,572,173,659,963,261,797,114,58,516,710,981,216,782,18,418,185,771,228,945,234,515,483,381,33,117,912,969,190,29,699,544,822,752,62,248,483,79,361,148,127,209,234,826,950,53,231
GA_1.0,6902,6749.1181640625,0.6599999666213989,983.0,981.0,506.4700012207031,4.0,18.0,279.5451354980469,684,665,134,338,724,597,104,674,480,158,64,604,941,4,67,426,579,89,934,983,903,208,420,214,191,867,763,198,49,46,550,707,882,842,441,459,676,718,980,716,624,253,461,570,559,517,432,750,262,829,834,533,981,556,490,173,659,963,645,797,114,58,516,818,407,216,782,18,340,185,771,228,762,565,511,787,381,33,632,912,480,785,214,699,544,800,752,541,248,483,79,361,290,416,452,234,641,950,53,622
GA_1.0,19613,6.408719979845731e+24,0.9199999570846558,992.0,995.0,508.8599853515625,3.0,18.0,294.83465576171875,896,665,53,338,57,613,104,835,480,740,64,604,560,486,67,3,243,89,934,419,959,745,615,195,668,36,981,115,49,850,434,467,882,359,992,459,676,324,980,362,161,253,569,570,559,576,427,774,262,368,834,875,981,556,837,69,659,783,522,797,665,58,516,670,407,216,782,18,418,185,771,475,762,565,839,604,381,33,632,912,480,785,23,699,544,800,958,62,248,483,79,480,595,416,995,234,641,950,53,622
GA_1.0,6520,7139.20068359375,2.7699999809265137,992.0,981.0,482.6700134277344,4.0,3.0,292.2390441894531,684,665,268,338,724,613,104,557,480,158,64,604,560,4,949,426,32,89,934,419,959,745,420,214,668,36,742,198,49,46,965,707,370,842,992,153,622,718,55,557,624,392,461,777,559,517,432,774,262,829,834,533,619,881,490,931,659,89,261,48,359,58,516,818,981,318,487,238,418,185,771,228,945,234,839,787,690,33,42,600,480,785,214,699,544,822,3,62,177,483,79,361,290,416,209,876,641,795,295,787
GA_1.0,13714,10.290234565734863,1.209999918937683,1000.0,969.0,465.9700012207031,4.0,29.0,283.50701904296875,520,35,134,647,783,92,584,674,240,947,98,604,349,4,67,521,579,165,614,788,903,401,783,214,49,582,742,1000,356,46,550,707,932,309,441,153,676,718,55,825,624,947,284,402,719,947,432,377,725,702,389,197,798,176,518,931,42,963,645,225,33,855,940,818,407,472,324,473,340,185,153,228,762,234,515,483,381,409,117,381,969,210,29,518,507,822,176,532,295,281,670,361,290,635,209,699,641,29,53,231
GA_1.0,9611,7937.330078125,0.8199999928474426,981.0,981.0,491.2799987792969,4.0,18.0,287.74603271484375,684,342,53,97,724,613,104,835,480,158,64,960,560,4,67,426,579,69,934,419,903,208,615,214,668,36,981,115,325,46,550,707,882,359,441,459,73,324,980,716,161,253,569,570,559,576,432,750,684,368,834,875,981,556,490,69,659,963,645,797,114,433,516,670,407,627,782,18,340,664,595,228,945,565,511,604,381,33,632,912,622,190,23,699,886,664,958,62,248,483,79,480,290,416,452,234,826,950,402,622
GA_1.0,18931,260.1000061035156,0.8899999856948853,1000.0,981.0,476.5799865722656,4.0,33.0,284.03289794921875,684,715,134,338,783,508,211,674,480,158,64,604,560,4,870,426,32,16,789,419,959,401,420,462,296,582,763,1000,49,46,550,463,458,842,992,153,676,718,55,825,624,98,461,570,559,517,347,750,586,829,389,533,619,881,490,173,42,963,261,48,114,58,516,670,981,839,912,238,574,185,771,228,762,234,515,787,381,33,501,381,969,71,214,699,544,822,752,532,177,483,169,361,148,416,209,876,291,795,300,231
GA_1.0,22109,118.67988586425781,0.7999999523162842,990.0,981.0,483.6000061035156,4.0,28.0,278.13592529296875,684,715,134,142,57,508,211,557,480,158,64,604,560,4,870,426,32,16,402,419,959,208,203,462,296,582,730,198,49,479,965,463,458,885,441,969,622,375,942,825,685,392,461,567,559,517,427,990,586,702,459,28,616,309,490,173,906,89,261,48,359,906,516,670,981,627,487,666,574,177,595,51,762,234,511,787,690,33,117,600,969,71,214,642,886,800,752,541,295,483,169,361,148,416,452,876,641,795,300,787
GA_1.0,12300,123.95977020263672,0.6699999570846558,992.0,995.0,522.219970703125,3.0,48.0,283.8179931640625,684,342,53,97,57,613,104,557,480,740,64,511,560,734,870,3,32,69,934,419,959,745,615,195,668,819,981,198,325,850,434,463,882,359,992,459,622,324,980,362,161,100,461,777,559,576,427,990,586,368,834,533,981,881,837,69,659,783,522,48,665,433,516,670,391,627,782,666,574,177,595,475,327,858,839,604,185,832,632,600,622,190,214,185,886,664,958,62,248,483,79,480,148,416,995,234,826,588,402,787
GA_1.0,8848,273.2100830078125,3.569999933242798,1000.0,987.0,488.94000244140625,4.0,3.0,310.8509826660156,520,665,207,338,783,72,9,674,668,158,98,454,941,4,67,56,579,89,938,983,724,401,420,979,191,582,763,1000,823,46,550,12,774,842,441,533,676,718,337,557,624,253,284,248,719,947,195,192,725,702,435,28,619,218,918,792,42,963,779,194,18,58,884,365,748,318,912,878,340,185,771,298,762,234,515,483,381,550,42,987,969,702,29,642,544,800,3,532,42,281,462,41,290,700,810,699,641,950,53,426
GA_1.0,15208,97.1402359008789,3.5899996757507324,979.0,987.0,497.1400146484375,9.0,3.0,293.1378173828125,241,665,207,795,783,92,9,674,679,947,883,454,349,979,67,521,579,165,614,788,903,296,87,214,191,867,742,185,823,46,857,707,774,433,789,153,676,718,55,557,624,947,284,402,719,506,432,192,262,883,389,197,798,218,918,931,42,644,645,194,18,855,940,818,407,318,324,878,626,185,983,228,762,234,515,483,679,118,42,987,593,702,29,378,507,800,3,151,295,699,543,361,290,700,209,699,659,184,295,426
GA_1.0,12705,94.29023742675781,2.9800000190734863,1000.0,969.0,482.30999755859375,4.0,3.0,291.49224853515625,520,665,134,338,783,597,9,674,679,158,98,454,941,4,67,521,579,89,789,788,903,401,87,214,191,867,742,1000,823,46,857,707,370,842,441,153,676,718,55,557,624,98,284,402,719,947,432,750,262,883,389,197,619,309,572,931,42,963,645,225,114,855,940,818,407,318,912,238,626,185,771,228,762,234,515,483,381,118,42,381,969,785,29,642,544,800,3,532,295,699,543,361,290,127,209,699,641,184,295,426
GA_0.7,10463,788.4501953125,0.7099999785423279,998.0,975.0,529.0599975585938,8.0,11.0,303.8978271484375,153,997,193,185,369,463,252,493,794,811,780,168,853,836,715,8,477,249,449,998,852,260,470,966,136,154,151,145,520,945,737,371,611,993,23,828,676,626,18,284,56,377,41,502,811,410,549,902,207,267,839,171,271,756,901,662,233,453,827,208,943,776,865,958,955,265,602,491,417,934,687,796,414,377,257,890,573,575,569,781,339,967,975,438,39,450,951,53,204,720,438,11,529,231,880,425,912,859,120,788
GA_0.7,7280,55.290016174316406,2.7200000286102295,992.0,990.0,539.0700073242188,25.0,5.0,300.6623840332031,890,617,554,141,274,827,548,666,335,368,277,876,941,59,781,970,914,472,273,271,498,552,924,531,655,25,810,835,980,288,834,167,61,439,726,748,713,313,144,853,581,398,173,172,424,662,296,751,992,612,889,977,427,889,394,880,362,405,82,143,9,644,887,748,114,611,56,126,171,307,854,767,110,487,690,644,434,894,680,956,470,990,382,811,167,128,382,565,691,5,684,827,946,215,744,947,822,980,121,182
GA_0.7,5557,119.0861587524414,0.6299999952316284,998.0,980.0,592.77001953125,23.0,56.0,294.2105712890625,890,617,554,185,274,463,548,666,794,368,277,876,941,836,781,970,914,472,273,998,852,260,924,966,655,25,810,835,980,288,834,167,61,439,23,828,713,313,144,853,581,377,173,172,424,410,549,751,992,612,839,977,427,889,394,662,362,453,82,143,943,644,887,958,955,611,56,126,417,934,854,796,414,487,690,644,573,894,680,956,470,967,975,811,167,128,382,565,691,720,684,827,946,215,744,425,822,980,121,182
GA_0.7,14032,242.7344970703125,0.8700000047683716,992.0,947.0,487.6499938964844,18.0,9.0,274.50946044921875,153,617,554,265,274,102,548,666,794,368,277,876,853,59,781,970,477,472,668,22,852,260,470,531,655,25,151,145,980,288,598,167,61,439,726,828,713,313,18,284,56,377,500,502,424,229,296,751,992,612,889,267,866,889,394,662,362,405,82,143,9,644,528,192,114,611,56,389,417,307,854,767,414,487,690,890,434,894,680,478,339,373,501,811,167,450,382,565,450,720,684,827,946,215,744,947,822,303,121,545
GA_0.7,21045,101.13699340820312,2.169999837875366,998.0,967.0,502.9800109863281,8.0,5.0,276.9613952636719,153,997,554,185,369,463,548,666,335,368,780,876,533,836,715,8,477,249,668,998,852,552,924,966,136,154,151,145,980,288,737,167,611,439,23,182,713,313,18,853,56,377,500,502,811,229,549,751,207,612,839,267,271,756,394,662,362,453,827,143,943,644,528,192,114,265,602,491,171,307,687,767,110,487,798,644,573,575,680,781,470,967,501,811,39,450,382,565,450,5,438,827,529,231,744,947,822,303,120,788
GA_0.7,26971,489.494873046875,0.6599999666213989,998.0,980.0,561.6599731445312,23.0,56.0,311.00921630859375,890,997,193,185,369,827,548,493,794,811,277,168,853,59,781,970,914,249,273,998,852,260,470,531,655,25,810,145,980,945,834,167,61,439,23,748,713,313,144,284,581,398,173,172,811,410,549,751,992,612,889,171,271,756,394,880,233,453,82,143,943,644,865,958,955,611,56,126,171,934,687,796,110,487,690,644,434,894,680,956,470,967,975,811,167,450,382,565,691,720,684,827,946,215,744,947,912,980,121,182
GA_0.7,22316,154.259765625,0.6399999856948853,998.0,977.0,575.6799926757812,8.0,39.0,300.1402282714844,890,617,554,185,274,463,548,666,794,368,277,168,941,836,781,8,914,472,273,998,852,260,924,966,655,154,810,835,520,288,834,167,611,439,23,828,713,313,144,853,56,377,173,172,424,410,549,902,992,612,839,977,427,889,394,662,362,453,82,143,943,644,887,958,955,611,56,126,417,934,687,796,414,487,690,644,573,894,680,956,339,967,975,811,39,128,951,53,691,720,684,827,946,215,744,425,822,859,121,788
GA_0.7,15817,1035.3890380859375,1.1799999475479126,998.0,989.0,477.82000732421875,18.0,9.0,294.8047180175781,893,709,292,729,369,102,252,666,449,549,277,876,853,642,781,970,477,249,668,998,923,260,146,531,655,25,151,145,366,288,737,371,611,534,23,323,713,313,18,284,56,377,201,502,424,229,296,601,207,815,839,267,271,889,394,876,233,178,82,963,9,776,393,338,114,265,56,389,417,361,318,767,414,208,126,890,573,123,680,478,339,373,953,811,39,702,951,565,586,720,972,11,946,231,989,947,822,303,121,788
GA_0.7,20040,1516.015869140625,0.6200000047683716,998.0,977.0,545.469970703125,25.0,56.0,287.2317199707031,890,617,554,185,274,463,548,666,794,368,277,876,941,59,781,970,477,472,668,998,852,260,924,966,655,25,151,835,980,288,598,167,61,439,726,828,713,313,144,853,56,377,173,172,424,229,549,751,992,612,839,977,427,889,394,662,362,453,82,143,943,644,528,192,114,611,56,389,417,307,854,796,414,487,690,644,573,894,680,478,339,967,975,811,167,450,382,565,450,720,684,827,946,215,744,947,822,303,121,182
GA_0.7,23798,3740.685546875,0.5799999833106995,992.0,977.0,535.9099731445312,8.0,56.0,289.24267578125,603,617,554,185,274,102,548,666,794,811,277,876,941,836,781,8,477,472,273,22,498,260,924,531,655,25,151,145,520,945,598,371,61,439,23,828,713,313,18,853,581,525,500,172,424,410,549,751,992,612,889,977,271,756,394,662,362,453,82,143,943,776,528,958,114,543,56,389,171,934,854,767,414,487,798,644,573,894,680,478,470,373,975,811,167,128,951,565,450,720,684,827,946,215,744,947,912,303,121,788
GA_0.7,24308,4378.67041015625,2.379999876022339,998.0,977.0,548.8499755859375,23.0,5.0,295.2043762207031,603,617,554,265,274,463,548,666,794,368,277,876,941,836,994,970,914,472,668,998,852,260,924,531,655,25,810,835,980,288,834,167,61,439,23,182,713,313,144,853,581,525,173,172,424,229,549,902,992,612,839,977,427,889,394,880,362,453,82,143,943,644,528,192,955,611,56,389,171,934,687,796,414,487,798,644,434,894,680,478,339,373,975,811,167,128,382,53,450,5,684,827,946,215,744,425,822,303,121,788
GA_0.7,4670,145.93936157226562,1.0299999713897705,998.0,989.0,530.4500122070312,18.0,11.0,299.0599670410156,890,709,554,729,274,463,252,666,794,368,277,876,853,642,715,970,477,472,449,998,852,756,924,966,136,947,151,145,980,288,598,371,611,439,23,828,819,626,18,284,56,377,201,172,811,229,549,751,207,815,839,977,427,889,901,662,233,453,82,143,485,644,393,192,114,611,56,491,417,307,854,796,414,487,690,890,573,123,680,781,339,967,975,811,39,702,382,53,586,720,972,11,946,231,989,425,329,303,121,182
GA_0.7,15174,30.269824981689453,0.5199999809265137,994.0,970.0,443.0899963378906,10.0,17.0,296.8975524902344,388,617,444,286,133,102,548,369,163,14,589,236,533,59,994,195,388,991,548,851,10,96,788,531,135,25,86,194,980,453,598,466,25,769,33,182,107,471,144,138,481,525,825,172,202,246,489,988,990,866,437,267,242,773,949,95,590,954,82,88,820,259,528,474,114,164,762,389,303,578,854,801,110,940,140,223,424,894,141,478,646,373,328,811,167,17,382,565,450,970,212,827,427,480,606,194,822,303,848,545
GA_0.7,12969,5012.45556640625,0.8399999737739563,998.0,977.0,536.3400268554688,23.0,9.0,295.313232421875,603,617,554,265,274,463,548,666,794,368,277,876,941,59,781,970,638,472,668,998,852,260,470,531,655,154,151,145,520,288,834,371,61,993,23,182,713,313,144,853,581,525,173,172,424,229,296,751,992,612,889,977,271,756,394,880,362,453,82,143,9,644,528,958,955,543,56,126,417,934,854,767,110,487,690,644,434,894,680,956,470,373,975,811,39,128,382,565,691,720,684,827,946,215,744,947,912,303,121,788
GA_0.7,14509,5509.42138671875,1.4299999475479126,998.0,989.0,524.9500122070312,8.0,11.0,319.2913818359375,893,709,554,185,274,995,548,916,449,549,780,168,853,836,781,8,477,249,273,998,852,756,146,966,655,154,151,145,366,945,834,371,61,993,23,323,713,626,18,853,56,377,173,502,811,410,549,751,207,612,839,977,271,756,394,876,233,178,82,143,485,776,393,338,955,611,602,491,417,934,318,796,414,208,126,890,573,123,680,956,339,967,953,19,39,128,951,53,586,720,972,11,946,231,989,425,912,617,120,788
GA_0.7,17865,5805.89111328125,0.75,998.0,989.0,517.6400146484375,8.0,11.0,300.1502380371094,153,709,193,185,369,463,252,916,449,549,780,168,853,836,715,8,477,249,449,998,923,260,470,733,136,154,151,145,366,945,737,371,611,993,23,828,676,626,18,284,56,377,201,502,811,410,489,601,207,815,839,171,271,756,901,662,233,178,827,963,485,776,865,338,955,265,602,491,417,361,687,796,572,377,126,890,573,123,569,781,339,967,975,438,39,702,951,53,204,720,972,11,529,231,989,425,912,859,120,788
GA_0.7,19378,6248.556640625,0.8899999856948853,998.0,989.0,525.8400268554688,18.0,11.0,306.3095703125,890,997,193,729,274,463,252,493,794,368,277,876,853,836,715,970,477,249,449,998,852,260,924,966,136,154,151,145,980,288,737,371,611,993,23,828,819,626,18,284,56,377,201,172,811,229,549,751,207,267,839,171,427,756,901,662,233,453,827,143,485,644,865,958,114,265,56,491,417,934,687,796,414,487,690,890,573,123,680,781,339,967,975,438,39,702,951,53,586,720,438,11,529,231,989,425,329,859,120,182
GA_0.7,25530,6721.98291015625,0.4599999785423279,998.0,977.0,566.969970703125,8.0,39.0,299.12176513671875,153,997,554,185,274,463,252,493,794,811,277,876,941,836,715,8,477,249,449,998,852,260,470,966,655,154,151,145,520,945,737,371,611,993,23,828,713,626,18,284,56,377,41,502,424,410,549,751,992,267,839,977,271,756,394,662,233,453,82,208,943,776,887,958,955,611,602,491,417,934,687,796,414,377,690,890,573,894,680,781,339,967,975,811,39,128,951,565,204,720,438,827,946,215,744,425,912,859,120,788
GA_0.7,23384,8600.6064453125,1.0,998.0,967.0,508.3800048828125,8.0,11.0,296.0252380371094,153,997,193,265,369,102,548,666,794,368,780,876,853,59,781,8,477,249,449,998,852,260,470,531,655,25,151,145,980,945,737,167,611,993,726,828,713,313,18,284,56,377,500,502,424,410,296,902,992,267,889,171,866,889,901,662,233,453,82,143,943,776,865,192,114,265,56,491,417,307,854,796,414,377,257,890,573,575,569,781,339,967,501,811,167,450,382,565,450,720,438,11,946,215,744,425,822,303,121,545
