target,capacity,fitness,MaP,Default,MPW,MiW,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
MaP,9311,2420.21728515625,16547.0,9894.0,8041.0,14431.0,1.4700000286102295,998.0,979.0,505.3399963378906,13.0,7.0,297.0970764160156,128,378,828,73,519,872,778,998,13,925,812,511,990,102,160,92,322,939,944,248,881,229,366,338,462,979,650,191,686,178,502,702,213,553,144,110,977,452,402,797,582,888,351,621,27,173,105,230,565,942,165,836,262,721,606,895,628,370,763,602,915,973,394,925,62,825,267,639,449,545,282,431,7,474,11,175,979,691,741,334,227,257,287,579,693,593,953,522,549,825,818,314,663,475,33,452,639,209,506,45
MaP,9616,2688.1611328125,13226.0,10528.0,9666.0,10920.0,1.2400000095367432,990.0,979.0,501.19000244140625,13.0,5.0,320.8016357421875,128,378,905,73,983,872,778,103,13,925,812,31,990,880,160,245,322,939,606,642,608,906,847,338,462,386,650,191,38,178,738,85,130,105,468,158,977,452,879,122,582,110,812,621,27,173,684,921,225,15,926,725,962,170,606,895,807,54,700,602,500,122,394,780,62,144,267,639,910,545,282,757,808,600,809,175,979,691,792,334,227,257,441,579,5,593,953,522,549,865,810,40,911,475,33,452,937,209,506,45
MaP,21693,2553.576171875,26292.0,23263.0,24972.0,24791.0,3.0799999237060547,987.0,988.0,504.4200134277344,11.0,3.0,312.7093811035156,899,876,535,108,246,11,530,987,181,260,174,962,262,218,141,974,216,456,606,642,881,906,209,338,635,501,738,869,721,926,956,85,130,108,667,946,626,522,421,336,83,216,812,526,821,206,313,921,934,942,464,21,695,898,193,310,442,828,325,710,166,56,826,3,738,310,988,333,859,604,744,77,641,600,809,233,10,151,34,363,809,774,226,872,21,959,961,682,47,280,343,389,663,495,681,236,937,471,451,135
MaP,24011,1546.132568359375,26646.0,24617.0,24326.0,25096.0,1.0800000429153442,998.0,979.0,533.260009765625,13.0,21.0,288.4385986328125,128,378,828,73,519,872,778,998,13,925,812,962,990,102,160,92,322,456,606,248,881,906,209,338,462,979,738,191,721,178,956,702,213,553,667,110,977,452,402,336,582,888,351,621,821,206,105,230,934,942,165,836,695,721,606,310,807,828,325,710,500,56,394,925,738,825,267,639,449,545,282,431,641,600,809,175,979,691,741,334,227,257,226,579,21,593,953,522,47,825,818,389,663,475,681,452,639,471,506,45
MaP,12316,2952.983642578125,15920.0,13033.0,12106.0,12938.0,0.4399999976158142,990.0,979.0,506.55999755859375,13.0,33.0,295.1858215332031,128,378,905,73,983,872,778,103,13,908,327,93,990,880,365,245,322,939,606,248,608,906,847,338,462,386,650,191,686,178,738,85,213,553,468,158,977,452,879,122,582,110,351,621,516,173,684,230,225,15,926,725,262,170,606,895,807,54,322,602,500,122,394,780,62,825,267,633,910,545,282,757,808,474,809,175,979,691,741,334,227,679,287,579,693,593,953,522,549,865,810,314,911,475,33,452,937,209,506,45
MaP,8132,3655.82080078125,16620.0,11375.0,11921.0,12625.0,2.950000047683716,979.0,959.0,460.4599914550781,13.0,7.0,312.186279296875,128,876,535,73,246,872,778,103,13,908,174,93,262,218,141,974,322,939,944,248,608,229,209,170,635,979,738,869,721,178,956,702,213,553,667,110,626,452,402,797,83,216,812,526,821,206,105,230,80,942,464,21,262,170,193,895,442,828,325,602,166,56,394,780,62,825,267,633,859,604,744,431,7,600,11,233,10,151,741,363,809,774,226,872,21,959,953,682,47,280,343,389,911,475,33,700,639,471,506,135
MaP,23685,3812.64501953125,25078.0,20404.0,20423.0,20958.0,1.25,990.0,979.0,548.1500244140625,11.0,5.0,295.2038269042969,956,89,905,207,519,11,778,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,366,338,462,386,650,191,686,603,738,85,213,105,468,158,977,452,879,122,582,110,812,710,27,586,684,921,225,942,165,725,962,721,270,895,807,370,700,602,915,122,394,925,643,144,267,639,910,604,282,757,808,600,809,233,979,691,741,363,227,679,287,579,5,593,961,522,549,865,810,40,911,499,203,452,937,471,506,810
MaP,10085,3420.15625,17042.0,12447.0,10918.0,13314.0,3.309999942779541,979.0,973.0,456.4200134277344,13.0,7.0,303.19061279296875,128,876,828,73,246,872,778,103,13,908,327,93,537,218,365,974,322,939,944,248,608,229,847,170,462,979,738,191,721,178,956,702,213,553,667,110,626,452,402,797,83,216,812,526,821,173,105,230,80,15,464,21,262,170,193,895,807,54,322,602,166,973,394,780,62,825,267,633,859,545,744,431,7,600,11,233,10,151,741,334,227,774,287,579,693,593,953,522,549,280,343,314,911,475,33,700,639,209,506,45
MaP,27283,1999.7762451171875,23761.0,20599.0,20536.0,21676.0,1.440000057220459,990.0,997.0,539.6900024414062,11.0,5.0,312.2749328613281,128,89,905,207,983,11,778,103,181,908,327,31,990,880,365,245,610,303,606,642,608,906,366,338,116,386,738,191,38,603,502,85,130,553,468,158,977,674,879,122,582,888,351,621,27,586,684,921,225,942,165,725,262,721,606,895,807,370,700,334,915,122,976,925,62,144,267,639,910,604,930,757,808,600,809,233,979,691,792,363,763,679,287,997,5,959,961,483,549,865,810,40,911,475,203,452,937,209,506,810
MaP,13891,4039.0986328125,19219.0,13021.0,14126.0,14669.0,2.319999933242798,977.0,997.0,549.489990234375,13.0,7.0,306.97772216796875,956,378,828,207,519,872,530,751,13,925,812,31,537,102,160,92,610,939,606,642,608,906,847,170,462,386,738,869,38,178,738,702,130,105,144,158,977,674,402,122,582,110,351,710,516,173,684,230,225,942,926,836,962,721,270,895,807,54,700,602,915,973,976,780,643,825,88,633,910,604,930,431,7,600,11,233,477,691,741,363,763,257,441,997,693,959,953,522,549,865,810,314,663,499,33,700,937,471,487,45
MaP,6918,2999.364013671875,12813.0,8884.0,7580.0,9716.0,1.9600000381469727,983.0,953.0,483.4800109863281,13.0,10.0,304.65899658203125,128,876,535,73,983,872,778,103,13,908,327,93,262,218,141,974,322,939,944,248,608,229,209,338,635,979,650,869,721,178,738,85,213,553,468,158,626,452,402,122,83,110,812,621,821,206,105,230,80,942,464,725,262,170,193,895,807,828,322,602,166,122,394,780,62,825,267,633,910,545,744,757,808,474,11,233,10,691,741,334,809,774,226,872,21,593,953,522,549,280,810,314,911,475,33,700,639,471,506,135
MaP,13918,4114.99365234375,19798.0,12048.0,9841.0,15408.0,2.890000104904175,990.0,997.0,551.4099731445312,13.0,5.0,318.5328063964844,956,89,905,207,519,872,530,751,13,925,812,31,990,102,160,245,610,939,606,642,608,906,847,170,116,386,738,869,38,603,502,85,130,105,468,158,270,674,402,122,498,888,351,710,27,173,684,921,225,942,926,725,962,721,270,895,807,54,700,602,915,973,976,780,643,825,88,633,910,604,930,757,7,600,809,233,477,691,741,363,763,257,441,997,5,959,961,522,549,865,810,40,663,499,33,700,937,471,487,45
MaP,6739,3097.500732421875,13502.0,9343.0,9012.0,10138.0,2.380000114440918,979.0,959.0,467.1000061035156,13.0,10.0,314.1803283691406,128,876,535,73,246,872,778,103,13,908,174,93,262,218,141,974,322,939,944,248,608,229,209,170,635,979,650,869,721,178,956,85,213,553,468,110,626,452,402,122,83,110,812,526,821,206,105,230,80,942,464,21,262,170,193,895,807,828,322,602,166,56,394,780,62,825,267,633,910,604,744,757,808,600,11,233,10,151,741,363,809,774,226,872,21,959,953,522,549,280,810,389,911,475,33,700,639,471,506,135
MaP,14789,2337.4873046875,22615.0,17099.0,18684.0,20727.0,2.6500000953674316,998.0,997.0,490.6600036621094,18.0,7.0,293.3822937011719,215,307,905,207,519,482,397,998,702,461,812,511,827,256,293,245,52,929,322,594,108,229,366,170,344,386,881,970,675,184,885,702,277,772,18,110,669,803,631,480,558,888,989,710,516,218,127,998,565,563,165,997,262,721,270,708,230,159,763,296,737,973,115,780,643,825,267,639,449,332,930,206,7,530,544,83,10,22,792,323,273,257,441,997,693,123,953,562,551,146,818,40,599,589,199,452,9,808,506,446
MaP,20619,4024.72021484375,22864.0,17496.0,17365.0,18323.0,0.6200000047683716,979.0,979.0,522.0900268554688,11.0,11.0,304.0965881347656,956,89,905,207,519,11,778,103,181,908,327,93,537,880,160,92,610,939,944,642,608,906,847,338,116,979,738,191,38,178,738,702,213,105,468,158,977,452,402,122,582,110,351,710,516,586,684,921,225,15,926,725,262,721,270,895,807,54,322,334,915,973,394,925,643,825,267,633,910,604,930,757,808,600,11,175,979,691,792,363,227,679,287,579,693,593,961,483,143,825,265,314,663,499,33,452,639,209,487,810
MaP,14389,4600.49072265625,18933.0,11668.0,12671.0,13900.0,2.5999999046325684,990.0,997.0,565.280029296875,11.0,5.0,312.87286376953125,956,89,905,207,519,11,530,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,847,338,116,386,738,869,38,603,502,85,130,105,468,158,270,674,402,122,498,888,812,710,27,173,684,921,225,942,926,725,962,721,270,760,807,370,700,602,915,973,976,925,643,825,88,639,910,604,930,757,7,600,809,233,979,691,741,363,763,257,441,997,5,959,961,483,143,825,810,40,663,499,203,452,937,471,487,810
MaP,7211,3318.80419921875,12134.0,4876.0,8057.0,8876.0,1.5299999713897705,979.0,973.0,455.7699890136719,11.0,10.0,307.9075927734375,128,89,535,207,246,11,778,103,13,908,327,93,262,218,160,92,322,939,944,642,608,229,209,170,116,979,738,191,721,178,956,85,213,105,468,110,626,452,402,122,582,110,351,526,821,206,684,921,225,15,464,21,262,170,270,895,807,828,322,602,915,973,394,925,643,825,267,633,910,604,744,757,808,600,11,233,10,691,741,363,809,679,226,872,21,959,961,522,143,280,265,389,911,499,33,452,639,471,487,135
MaP,20556,4026.948486328125,20810.0,16075.0,15401.0,16379.0,2.5,990.0,997.0,500.1300048828125,11.0,5.0,318.43597412109375,956,89,905,207,519,11,778,751,13,925,327,93,990,102,160,92,610,303,944,642,881,229,847,170,462,386,650,191,686,178,738,85,130,105,468,158,977,452,402,797,498,110,812,710,27,173,684,230,80,15,926,725,262,721,270,895,807,54,322,602,500,973,976,925,643,825,267,633,910,545,282,431,7,474,809,175,979,691,741,334,227,679,441,997,5,593,961,483,143,825,810,314,911,499,33,700,937,471,487,45
MaP,20776,4385.318359375,22892.0,17904.0,17836.0,17580.0,1.4199999570846558,990.0,997.0,523.280029296875,11.0,5.0,322.99627685546875,956,89,905,207,519,11,778,751,13,925,327,93,990,102,160,245,610,303,944,642,881,906,847,338,116,386,650,869,38,603,738,85,130,105,468,158,977,452,879,122,498,110,812,710,27,586,684,921,80,15,926,725,962,721,270,760,807,54,322,334,500,122,976,925,643,825,88,639,449,604,282,757,808,600,809,233,979,691,792,334,227,257,441,997,5,593,961,483,143,825,810,40,911,499,33,700,937,471,487,810
MaP,16935,4999.92724609375,21319.0,14316.0,14700.0,15779.0,1.4600000381469727,990.0,997.0,559.1500244140625,11.0,5.0,310.1835021972656,956,89,905,207,519,11,530,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,366,338,116,386,738,869,38,603,502,85,130,105,468,158,270,674,879,122,498,888,812,710,27,173,684,921,225,942,926,725,962,721,270,760,807,370,700,334,915,973,976,925,643,144,88,639,449,604,930,757,808,600,809,233,979,691,741,363,763,257,441,997,5,959,961,483,143,825,810,40,663,499,203,452,937,471,487,810
MaP,9565,3778.662841796875,14579.0,7837.0,10453.0,10554.0,2.5199999809265137,979.0,973.0,462.5899963378906,11.0,7.0,310.7868957519531,128,89,535,207,246,11,778,103,13,908,327,93,262,102,160,92,322,939,944,248,608,229,847,170,116,979,738,191,721,178,956,702,213,105,144,110,977,452,402,797,582,110,351,621,821,206,105,921,80,15,464,21,262,170,606,895,807,828,322,602,500,973,394,780,62,825,267,633,910,604,744,757,7,474,11,233,10,691,741,334,809,679,287,872,693,593,961,522,549,865,265,389,911,499,33,700,639,471,506,135
MaP,10293,4235.30615234375,15205.0,9062.0,10023.0,10477.0,2.25,977.0,997.0,510.2200012207031,11.0,7.0,316.5048828125,956,89,535,207,246,11,530,103,13,925,812,93,262,880,160,92,610,303,944,248,608,906,847,338,116,386,738,191,38,178,956,85,130,105,468,110,977,452,402,797,582,110,812,710,821,206,684,921,80,942,926,21,962,170,270,760,807,370,322,602,500,973,394,780,62,825,88,633,910,604,744,757,7,600,809,233,10,691,741,363,763,257,441,997,693,593,961,483,143,825,810,389,911,499,203,700,937,471,487,810
MaP,20705,4487.76904296875,23693.0,16881.0,18613.0,18707.0,2.5299999713897705,990.0,997.0,529.9299926757812,11.0,5.0,319.3738098144531,956,89,905,207,519,11,530,751,13,925,812,31,990,880,160,92,610,303,606,642,608,906,847,338,116,386,738,869,38,603,502,85,130,105,468,110,977,674,879,122,498,110,812,710,27,206,684,921,80,942,926,21,962,170,270,760,807,370,322,602,915,973,394,780,643,825,88,639,449,604,930,757,7,600,809,233,979,691,741,363,763,257,441,997,5,593,961,483,143,825,810,40,663,499,203,452,937,471,487,810
MaP,18548,4572.4404296875,22761.0,17501.0,15939.0,17545.0,1.2699999809265137,990.0,979.0,549.1099853515625,11.0,5.0,296.44476318359375,956,89,905,207,519,11,778,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,366,338,462,386,738,191,686,603,738,85,213,105,468,158,977,674,879,122,582,110,812,710,27,173,684,921,225,942,926,725,962,721,270,760,807,370,700,602,915,122,394,925,643,144,88,639,449,604,282,757,808,600,809,233,979,691,741,363,227,679,441,579,5,959,961,522,549,825,810,40,663,499,203,452,937,471,487,810
MaP,11932,2223.2724609375,20016.0,14075.0,15622.0,17799.0,2.950000047683716,998.0,997.0,508.0299987792969,13.0,7.0,301.1085205078125,215,378,828,73,519,872,778,998,13,908,327,511,537,102,365,92,322,939,944,248,108,229,847,170,344,979,650,970,686,184,885,702,213,553,18,110,669,452,402,797,558,888,351,621,516,218,105,230,565,563,926,836,262,721,270,708,230,54,763,602,737,973,394,780,62,825,267,639,449,545,930,431,7,530,544,175,10,691,741,323,227,679,287,997,693,593,953,522,551,865,818,40,911,589,33,700,9,808,506,45
MaP,19414,4786.267578125,23325.0,16950.0,15423.0,17870.0,1.5099999904632568,990.0,997.0,557.8800048828125,11.0,5.0,310.1939697265625,956,89,905,207,519,11,530,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,366,338,116,386,738,869,38,603,502,85,130,105,468,158,270,674,879,122,498,888,812,710,27,586,684,921,225,942,926,725,962,721,270,760,807,370,700,334,915,973,976,925,643,144,88,639,449,604,930,757,808,600,809,233,979,151,741,363,763,257,441,997,5,959,961,483,143,825,810,40,663,499,203,452,937,471,487,810
MaP,14031,4914.29833984375,17903.0,10001.0,10552.0,12481.0,0.3700000047683716,956.0,997.0,541.8200073242188,11.0,21.0,308.5229187011719,956,89,535,207,246,11,530,103,181,925,812,31,262,880,160,245,610,303,944,642,881,906,366,338,116,386,738,191,38,178,956,85,130,105,468,158,270,674,879,797,582,110,812,710,821,173,684,921,225,942,926,21,962,721,270,760,807,370,322,334,500,973,976,780,643,825,88,639,910,604,930,757,808,600,809,233,979,691,741,363,763,257,441,997,693,593,961,483,143,825,810,40,663,499,203,452,937,471,487,810
MaP,25689,2153.843994140625,24303.0,21754.0,21303.0,21994.0,1.3200000524520874,990.0,979.0,527.8400268554688,11.0,5.0,303.2393493652344,956,89,905,207,519,11,530,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,366,338,116,386,650,191,38,603,502,85,213,105,468,158,977,674,879,122,498,110,812,710,27,586,684,921,225,942,165,725,962,721,270,760,807,370,700,334,915,122,394,925,643,144,267,639,910,604,282,757,808,600,809,233,979,691,741,363,227,679,287,579,5,959,961,522,143,865,810,40,663,499,203,452,937,471,506,810
MaP,13566,5204.7587890625,17766.0,10520.0,9668.0,11856.0,1.100000023841858,977.0,997.0,528.77001953125,11.0,10.0,319.1056823730469,956,89,535,207,246,11,530,103,13,925,812,31,262,880,160,92,610,303,944,248,608,906,366,338,116,386,738,191,38,178,956,85,130,105,468,158,977,674,879,797,582,110,812,710,821,173,684,921,225,942,926,21,962,170,270,760,807,370,322,334,500,973,976,780,643,825,88,639,910,604,930,757,808,600,809,233,10,691,741,363,763,257,441,997,693,593,961,483,143,825,810,40,911,499,203,700,937,471,487,810
MaP,14841,5324.23583984375,19073.0,12060.0,11688.0,13050.0,1.7400000095367432,979.0,973.0,490.30999755859375,11.0,7.0,315.8038024902344,956,89,535,73,246,11,778,103,13,908,327,93,537,102,160,92,322,939,944,248,608,906,847,170,116,979,650,191,38,178,738,85,130,553,468,110,977,452,402,797,582,110,812,710,516,173,105,921,80,942,926,836,962,170,606,895,807,54,322,602,500,973,394,780,62,825,88,633,910,545,282,757,7,600,11,175,477,691,741,334,763,679,287,579,693,593,961,522,143,825,265,389,911,475,33,700,639,471,506,810
MaP,7300,3357.592041015625,10863.0,7061.0,6954.0,7278.0,1.1299999952316284,983.0,973.0,460.04998779296875,13.0,10.0,304.40155029296875,128,89,828,73,983,872,778,103,13,908,327,93,262,102,365,92,322,939,944,248,608,229,209,170,116,979,650,191,721,178,738,85,213,105,468,110,626,452,402,122,582,110,351,621,516,206,684,230,80,15,926,21,262,170,606,895,807,54,322,602,915,973,394,780,643,825,267,633,910,604,744,431,808,600,11,175,10,691,741,334,809,679,287,579,693,593,961,522,549,865,265,314,911,475,33,700,639,209,487,45
MaP,20493,4559.83056640625,23918.0,18043.0,17654.0,18784.0,1.7999999523162842,990.0,979.0,533.8800048828125,11.0,5.0,305.3478698730469,956,89,905,207,519,11,778,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,366,338,116,386,650,869,686,603,502,85,213,105,468,158,977,674,402,122,498,110,812,710,27,173,684,921,225,942,165,725,962,721,270,760,807,370,700,602,915,973,394,925,643,144,88,639,910,604,930,757,7,600,809,233,979,691,741,363,227,257,287,579,5,593,961,483,143,825,810,40,663,499,203,452,937,471,506,810
MaP,20723,5262.43212890625,23312.0,14935.0,15923.0,17411.0,0.5199999809265137,977.0,997.0,579.5399780273438,11.0,40.0,306.86590576171875,956,89,905,207,519,11,530,103,13,925,812,31,262,880,160,92,610,303,944,642,608,906,366,338,116,386,738,869,38,603,956,85,130,105,468,158,977,674,402,797,498,888,812,710,821,173,684,921,225,942,926,725,962,721,270,760,807,370,700,334,500,973,976,780,643,825,88,639,910,604,930,757,808,600,809,233,979,691,741,363,763,257,441,997,693,959,961,483,143,825,810,40,911,499,203,452,937,471,487,810
MaP,13375,5261.91650390625,17766.0,10680.0,9992.0,11649.0,1.0800000429153442,977.0,997.0,522.97998046875,11.0,10.0,312.8616638183594,956,89,535,207,246,11,530,103,13,925,812,31,262,880,160,92,610,303,944,248,608,906,366,338,116,386,738,191,38,178,956,85,130,105,468,110,977,674,879,797,582,110,812,710,821,206,684,921,80,942,926,21,962,170,270,760,807,370,322,334,500,973,394,780,643,825,88,639,910,604,744,757,808,600,809,233,10,691,741,363,763,257,441,997,693,593,961,483,143,825,810,389,911,499,203,700,937,471,487,810
MaP,14464,5908.65234375,17873.0,9723.0,8702.0,11174.0,0.28999999165534973,977.0,997.0,551.9500122070312,11.0,40.0,314.19744873046875,956,89,905,207,246,11,530,103,13,925,812,31,262,880,160,92,610,303,944,248,608,906,366,338,116,386,738,869,38,178,956,85,130,105,468,158,977,674,402,797,498,110,812,710,821,173,684,921,80,942,926,725,962,721,270,760,807,370,322,334,500,973,976,780,643,825,88,639,910,604,930,757,808,600,809,233,979,691,741,363,763,257,441,997,693,593,961,483,143,825,810,40,911,499,203,452,937,471,487,810
MaP,1992,1816.17919921875,8341.0,2105.0,5372.0,7877.0,2.2100000381469727,998.0,997.0,476.3399963378906,105.0,10.0,290.0928649902344,215,876,535,207,519,731,397,998,702,260,985,962,272,392,243,974,216,303,322,594,319,233,366,578,635,386,541,970,660,350,885,494,503,105,779,158,626,803,421,336,558,434,989,650,821,206,313,162,565,163,165,21,962,721,768,310,230,370,325,710,166,756,115,855,738,310,988,639,89,994,930,206,293,530,544,38,10,22,34,323,273,774,441,997,241,123,218,483,551,146,818,389,259,280,199,982,216,799,451,120
MaP,20065,5371.69677734375,23758.0,16996.0,16021.0,17602.0,0.550000011920929,990.0,997.0,574.9500122070312,11.0,40.0,305.07684326171875,956,89,905,207,519,11,530,751,181,925,812,31,990,880,160,245,610,303,606,642,881,906,366,338,116,386,738,869,38,603,956,85,130,105,468,158,977,674,402,122,498,888,812,710,27,586,684,921,225,942,926,725,962,721,270,760,628,370,700,334,500,973,976,925,643,825,88,639,449,604,930,757,808,600,809,233,979,151,741,363,763,257,441,997,693,959,961,483,143,825,810,40,911,499,203,452,937,471,487,810
