target,capacity,avg_eff,max_p,max_w,mean,min_p,min_w,std
MaP,7516,0.4900000095367431,990.0,935.0,507.3800048828125,27.0,48.0,300.2772216796875
MaP,21412,0.5400000214576721,990.0,941.0,503.8599853515625,4.0,65.0,318.0236511230469
MaP,23689,0.5799999833106995,990.0,935.0,495.75,20.0,48.0,301.2308959960937
MaP,12620,0.3700000047683716,990.0,941.0,504.5199890136719,27.0,65.0,297.82452392578125
MaP,15471,0.3499999940395355,990.0,935.0,515.4299926757812,27.0,65.0,299.175537109375
MaP,21112,1.950000047683716,982.0,995.0,507.75,18.0,8.0,277.9310607910156
MaP,15511,0.4099999964237213,990.0,935.0,521.5999755859375,20.0,65.0,303.0352478027344
MaP,7497,0.3199999928474426,990.0,918.0,498.260009765625,27.0,65.0,295.2929382324219
MaP,20837,0.4099999964237213,990.0,935.0,523.989990234375,20.0,65.0,297.4765930175781
MaP,15228,0.4099999964237213,990.0,919.0,512.6900024414062,20.0,65.0,299.50714111328125
MaP,7687,0.3300000131130218,990.0,919.0,496.3399963378906,20.0,65.0,298.9417724609375
MaP,12712,0.3600000143051147,990.0,941.0,504.2799987792969,20.0,65.0,300.8624572753906
MaP,15375,0.3799999952316284,990.0,919.0,511.75,20.0,65.0,302.80572509765625
MaP,16149,0.7400000095367432,990.0,941.0,503.7200012207031,20.0,65.0,320.22393798828125
MaP,12813,0.3799999952316284,990.0,919.0,504.8200073242188,20.0,65.0,304.19366455078125
MaP,7586,0.4399999976158142,990.0,918.0,502.489990234375,20.0,65.0,299.2331848144531
MaP,15836,1.309999942779541,991.0,995.0,562.0499877929688,51.0,32.0,287.9716796875
MaP,10177,0.4000000059604645,990.0,954.0,500.2799987792969,20.0,65.0,306.1093444824219
MaP,14466,0.6000000238418579,990.0,941.0,499.489990234375,20.0,65.0,311.19146728515625
MaP,12651,0.4300000071525574,990.0,919.0,498.8500061035156,20.0,65.0,311.4850769042969
MaP,7474,0.4900000095367431,990.0,917.0,497.2699890136719,20.0,65.0,306.5731201171875
MaP,7534,0.4199999868869781,990.0,954.0,493.7799987792969,20.0,65.0,309.81903076171875
MaP,12534,0.4300000071525574,990.0,954.0,496.260009765625,20.0,65.0,309.8104553222656
MaP,10177,0.4399999976158142,990.0,954.0,502.6099853515625,20.0,65.0,309.3505859375
MaP,19880,0.5600000023841858,990.0,941.0,525.1900024414062,20.0,65.0,313.8983764648437
MaP,7712,0.4799999892711639,990.0,954.0,504.5299987792969,20.0,65.0,312.2441101074219
MaP,7956,0.3600000143051147,990.0,954.0,510.7900085449219,20.0,65.0,311.1947326660156
MaP,18990,2.059999942779541,997.0,989.0,541.719970703125,18.0,8.0,284.3896179199219
MaP,14974,0.5299999713897705,990.0,954.0,508.5400085449219,20.0,65.0,320.6541442871094
MaP,10004,0.5099999904632568,990.0,954.0,499.8599853515625,20.0,65.0,309.86846923828125
MaP,15298,0.3899999856948852,990.0,941.0,515.010009765625,20.0,92.0,310.6309814453125
MaP,20129,0.4799999892711639,998.0,968.0,492.0799865722656,12.0,48.0,282.63433837890625
MaP,22114,1.5800000429153442,990.0,954.0,455.8999938964844,4.0,8.0,292.6086730957031
Default,4643,1.3899999856948853,988.0,925.0,532.469970703125,12.0,13.0,282.52398681640625
Default,4957,0.7300000190734863,988.0,968.0,513.969970703125,15.0,13.0,294.5652160644531
Default,7338,0.959999978542328,988.0,968.0,541.25,12.0,13.0,294.8472900390625
Default,2369,1.340000033378601,988.0,968.0,537.469970703125,12.0,13.0,285.1060791015625
Default,4934,0.949999988079071,988.0,968.0,525.4299926757812,15.0,13.0,294.28680419921875
Default,4915,0.949999988079071,988.0,968.0,538.8599853515625,12.0,13.0,293.50762939453125
MPW,22221,2.3499999046325684,973.0,968.0,490.6099853515625,8.0,5.0,276.708984375
MPW,2086,1.1799999475479126,919.0,968.0,455.9200134277344,8.0,23.0,267.5979309082031
MiW,4345,3.4600000381469727,995.0,932.0,528.1699829101562,8.0,3.0,296.73150634765625
MiW,4643,2.3399999141693115,987.0,993.0,496.4800109863281,1.0,5.0,292.75848388671875
MiW,1962,1.2599999904632568,992.0,999.0,499.9299926757813,1.0,28.0,307.8802795410156
MiW,9830,9.920000076293944,989.0,991.0,483.0799865722656,12.0,1.0,308.8614807128906
MiW,3955,3.430000066757202,988.0,999.0,473.6600036621094,4.0,3.0,319.3694152832031
MiW,8264,1.909999966621399,989.0,999.0,519.97998046875,4.0,5.0,321.5883483886719
MiW,9614,1.2799999713897705,992.0,991.0,491.2000122070313,12.0,36.0,306.43572998046875
MiW,9243,1.7999999523162842,989.0,991.0,489.6300048828125,9.0,5.0,308.7502136230469
MiW,6043,1.2100000381469729,989.0,999.0,508.1799926757813,12.0,28.0,306.8279113769531
MiW,7653,1.5399999618530271,992.0,999.0,497.9100036621094,12.0,28.0,305.7062683105469
MiW,11844,9.899999618530272,989.0,991.0,494.7099914550781,12.0,1.0,307.69561767578125
MiW,1874,2.700000047683716,989.0,999.0,506.6300048828125,12.0,5.0,308.69415283203125
MiW,8115,2.490000009536743,989.0,991.0,511.5799865722656,9.0,5.0,296.8834533691406
MiW,3834,1.409999966621399,989.0,999.0,509.75,12.0,28.0,304.1962890625
MiW,7961,1.2100000381469729,989.0,999.0,505.5299987792969,12.0,28.0,304.8728332519531
MiW,9291,1.7300000190734863,989.0,999.0,489.4200134277344,9.0,5.0,306.6598815917969
MiW,6081,1.3899999856948853,989.0,999.0,510.8500061035156,12.0,28.0,310.36669921875
MiW,4049,1.25,989.0,999.0,503.1300048828125,12.0,28.0,306.709716796875
MiW,8194,1.3799999952316284,989.0,999.0,514.6699829101562,12.0,28.0,308.10400390625
MiW,2035,1.2599999904632568,989.0,999.0,510.489990234375,12.0,28.0,304.8811340332031
MiW,3997,1.3899999856948853,989.0,999.0,509.7300109863281,12.0,28.0,310.5854797363281
MiW,3889,1.4500000476837158,989.0,999.0,500.8200073242188,12.0,28.0,311.04608154296875
MiW,5743,1.7100000381469729,983.0,999.0,499.0299987792969,9.0,5.0,304.3898010253906
MiW,9849,9.890000343322754,989.0,991.0,494.4200134277344,9.0,1.0,311.1505126953125
MiW,14259,2.0299999713897705,983.0,991.0,482.0499877929688,9.0,5.0,302.153076171875
MiW,3880,1.6799999475479126,989.0,999.0,509.239990234375,12.0,28.0,319.1911315917969
MiW,5725,1.4600000381469729,989.0,999.0,502.8500061035156,12.0,28.0,308.63916015625
MiW,1918,1.4600000381469729,989.0,999.0,502.30999755859375,12.0,28.0,310.1959228515625
MiW,13765,1.2400000095367432,989.0,991.0,512.969970703125,12.0,28.0,304.8621826171875
MiW,1711,1.850000023841858,989.0,981.0,489.6400146484375,9.0,28.0,325.1125793457031
MiW,15603,2.0899999141693115,989.0,991.0,477.6099853515625,9.0,5.0,308.2409362792969
MiW,7720,1.5800000429153442,989.0,999.0,502.2799987792969,12.0,28.0,315.6798400878906
MiW,1984,1.6100000143051147,992.0,999.0,508.3399963378906,12.0,28.0,309.8946228027344
MiW,7564,1.6699999570846558,989.0,999.0,506.0400085449219,12.0,28.0,311.5204162597656
MiW,2165,7.610000133514404,989.0,999.0,505.25,4.0,1.0,311.52978515625
MiW,5515,1.4500000476837158,989.0,999.0,484.1300048828125,12.0,28.0,307.4747314453125
MiW,8858,1.8600000143051147,989.0,981.0,507.7999877929688,12.0,28.0,313.40679931640625
MiW,5445,1.6699999570846558,989.0,999.0,482.6499938964844,12.0,28.0,308.9678039550781
MiW,5445,1.6699999570846558,989.0,999.0,483.3200073242188,12.0,28.0,309.5235595703125
MiW,1778,1.9800000190734863,989.0,981.0,510.0799865722656,12.0,28.0,318.2148742675781
MiW,10850,1.2899999618530271,989.0,981.0,497.510009765625,12.0,28.0,300.8204650878906
MiW,1719,2.009999990463257,989.0,981.0,507.6099853515625,12.0,28.0,316.0622863769531
MiW,12440,1.9299999475479128,989.0,981.0,513.97998046875,12.0,28.0,317.5971069335937
MiW,5611,1.9299999475479128,989.0,981.0,516.3200073242188,12.0,28.0,313.5536499023437
MiW,8443,2.359999895095825,989.0,991.0,486.8900146484375,12.0,5.0,319.4292907714844
MiW,11459,2.390000104904175,989.0,991.0,528.02001953125,9.0,5.0,295.75994873046875
MiW,12073,1.3799999952316284,989.0,981.0,490.6400146484375,12.0,28.0,303.462158203125
MiW,10269,1.5399999618530271,989.0,981.0,503.0899963378906,12.0,28.0,304.4472351074219
MiW,1743,2.0799999237060547,989.0,981.0,505.6799926757813,12.0,28.0,318.8785705566406
MiW,8726,1.7999999523162842,989.0,981.0,512.6599731445312,12.0,28.0,312.7557373046875
MiW,8586,1.9800000190734863,989.0,981.0,508.6499938964844,12.0,28.0,316.33807373046875
MiW,8406,1.6200000047683716,989.0,981.0,507.2799987792969,12.0,28.0,312.07666015625
MiW,5158,1.7599999904632568,989.0,981.0,505.9299926757813,12.0,28.0,312.3921203613281
MiW,6808,1.8799999952316284,989.0,981.0,501.4599914550781,12.0,28.0,315.26763916015625
MiW,14068,1.4800000190734863,989.0,991.0,511.7099914550781,12.0,28.0,312.7469482421875
MiW,13416,1.5,989.0,981.0,501.260009765625,12.0,28.0,308.4866027832031
MiW,2185,0.8999999761581421,989.0,999.0,516.8900146484375,4.0,28.0,310.8892517089844
MiW,8324,1.659999966621399,989.0,981.0,503.2300109863281,12.0,28.0,311.4359741210937
MiW,15102,1.5499999523162842,989.0,981.0,504.80999755859375,12.0,28.0,305.9407958984375
MiW,4991,1.9299999475479128,989.0,981.0,498.80999755859375,12.0,28.0,315.85467529296875
MiW,9866,1.6799999475479126,989.0,981.0,500.8900146484375,12.0,28.0,312.7843017578125
MiW,9965,1.6399999856948853,989.0,981.0,505.5400085449219,12.0,28.0,311.9603881835937
MiW,12223,1.559999942779541,989.0,981.0,514.8099975585938,12.0,28.0,309.41375732421875
MiW,10062,1.5700000524520874,989.0,981.0,507.0799865722656,12.0,28.0,308.5046081542969
MiW,15556,1.5499999523162842,989.0,981.0,510.3599853515625,12.0,28.0,308.9633483886719
MiW,8049,1.6100000143051147,989.0,981.0,497.989990234375,12.0,28.0,306.2280578613281
MiW,3335,1.9900000095367432,989.0,981.0,490.3299865722656,12.0,28.0,313.7748718261719
MiW,6053,9.15999984741211,989.0,991.0,494.05999755859375,12.0,1.0,315.0691833496094
MiW,10370,1.5499999523162842,989.0,981.0,510.5199890136719,12.0,28.0,309.14794921875
MiW,11569,1.6100000143051147,989.0,981.0,500.4800109863281,12.0,28.0,307.6308288574219
MiW,6716,1.850000023841858,989.0,981.0,497.2000122070313,12.0,28.0,312.4561462402344
MiW,6102,2.150000095367432,989.0,981.0,481.5799865722656,12.0,28.0,320.44403076171875
MiW,3223,2.059999942779541,989.0,981.0,487.0400085449219,12.0,28.0,313.55792236328125
MiW,8058,1.649999976158142,989.0,981.0,504.25,12.0,28.0,308.97607421875
MiW,7950,1.7300000190734863,989.0,981.0,498.2200012207031,12.0,28.0,317.6713562011719
MiW,1692,2.0999999046325684,989.0,981.0,501.2099914550781,12.0,28.0,318.5020446777344
MiW,4103,1.0499999523162842,989.0,998.0,485.3299865722656,12.0,28.0,299.7625732421875
MiW,1962,1.2300000190734863,992.0,999.0,493.239990234375,1.0,28.0,306.0951538085937
MiW,6491,1.399999976158142,978.0,995.0,516.7000122070312,2.0,21.0,313.9983825683594
MiW,2370,2.8299999237060547,985.0,995.0,528.4000244140625,34.0,3.0,278.3934020996094
MiW,4447,1.399999976158142,978.0,995.0,538.9500122070312,2.0,21.0,309.2938537597656
MiW,9685,1.0199999809265137,968.0,974.0,499.4700012207031,2.0,4.0,303.5990905761719
MiW,11193,1.6299999952316284,978.0,995.0,533.72998046875,2.0,21.0,309.0614013671875
MiW,8414,1.8200000524520876,978.0,995.0,519.5800170898438,2.0,21.0,314.6616516113281
MiW,2147,3.0,983.0,995.0,538.0399780273438,2.0,6.0,315.29412841796875
MiW,6291,2.450000047683716,983.0,995.0,532.4500122070312,2.0,6.0,322.4964904785156
MiW,8858,1.440000057220459,983.0,995.0,555.52001953125,2.0,21.0,310.55438232421875
MiW,11322,1.600000023841858,978.0,995.0,555.5399780273438,2.0,21.0,310.4935913085937
MiW,13018,1.7799999713897705,978.0,995.0,541.6400146484375,2.0,21.0,314.0846252441406
MiW,13621,1.600000023841858,978.0,995.0,556.4199829101562,2.0,21.0,310.556640625
MiW,6844,0.6000000238418579,994.0,950.0,502.260009765625,6.0,27.0,267.277587890625
MiW,13133,2.130000114440918,983.0,995.0,545.3099975585938,2.0,6.0,318.6302185058594
MiW,13279,2.970000028610229,983.0,995.0,551.52001953125,2.0,6.0,317.6917724609375
MiW,11478,1.2799999713897705,978.0,995.0,555.3699951171875,2.0,21.0,306.27813720703125
MiW,11366,1.309999942779541,978.0,995.0,551.9099731445312,2.0,21.0,307.58917236328125
MiW,15030,2.869999885559082,983.0,995.0,553.7100219726562,2.0,6.0,319.2929077148437
MiW,16191,1.5499999523162842,978.0,995.0,528.4600219726562,2.0,21.0,306.7266540527344
MiW,4218,1.5299999713897705,978.0,995.0,539.6300048828125,2.0,21.0,312.0355834960937
MiW,8700,1.7400000095367432,978.0,995.0,547.0999755859375,2.0,21.0,312.60711669921875
MiW,6626,1.350000023841858,978.0,995.0,549.4000244140625,2.0,21.0,311.8428955078125
MiW,8471,1.7699999809265137,978.0,995.0,539.3900146484375,2.0,21.0,315.50799560546875
MiW,4553,1.5700000524520874,983.0,995.0,538.219970703125,2.0,21.0,318.2299499511719
MiW,4216,1.5399999618530271,978.0,995.0,539.5399780273438,2.0,21.0,312.1676940917969
MiW,8388,1.850000023841858,978.0,995.0,537.1199951171875,2.0,21.0,318.3276672363281
MiW,4262,1.5099999904632568,978.0,995.0,535.8400268554688,2.0,21.0,313.8668212890625
MiW,14241,1.3899999856948853,978.0,995.0,527.469970703125,2.0,21.0,305.2959899902344
MiW,6626,1.350000023841858,978.0,995.0,552.3900146484375,2.0,21.0,309.1814270019531
MiW,12711,1.3300000429153442,978.0,995.0,538.9400024414062,2.0,21.0,302.6611328125
MiW,8433,1.5399999618530271,978.0,995.0,538.3599853515625,2.0,21.0,316.5630798339844
MiW,14341,1.3700000047683716,978.0,995.0,537.8599853515625,2.0,21.0,304.6949157714844
MiW,15624,1.5299999713897705,978.0,995.0,520.22998046875,2.0,21.0,307.6546325683594
MiW,4218,1.5299999713897705,978.0,995.0,541.4400024414062,2.0,21.0,313.9149475097656
MiW,8450,1.2100000381469729,951.0,995.0,503.6000061035156,2.0,21.0,306.5677490234375
MiW,9797,1.590000033378601,978.0,995.0,525.1599731445312,2.0,21.0,312.4814147949219
MiW,14162,1.409999966621399,978.0,995.0,530.260009765625,2.0,21.0,307.7293395996094
MiW,11722,1.5299999713897705,978.0,995.0,524.5399780273438,2.0,21.0,309.12164306640625
MiW,5878,1.6200000047683716,978.0,995.0,530.2000122070312,2.0,21.0,312.9217529296875
MiW,1959,1.6200000047683716,978.0,995.0,523.47998046875,2.0,21.0,314.3324890136719
MiW,1959,1.590000033378601,978.0,995.0,518.4400024414062,2.0,21.0,313.7862243652344
MiW,13774,1.5800000429153442,978.0,995.0,526.0800170898438,2.0,21.0,313.30035400390625
MiW,9835,1.590000033378601,978.0,995.0,525.989990234375,2.0,21.0,313.42803955078125
MiW,15624,1.5299999713897705,978.0,995.0,518.4199829101562,2.0,21.0,305.6112365722656
MiW,6096,1.6100000143051147,978.0,995.0,536.7000122070312,2.0,21.0,316.134521484375
MiW,2141,1.6299999952316284,983.0,995.0,515.8099975585938,2.0,21.0,315.44158935546875
MiW,8464,1.5399999618530271,978.0,995.0,545.9099731445312,2.0,21.0,315.7320861816406
MiW,8464,1.5399999618530271,978.0,995.0,539.1900024414062,2.0,21.0,317.4630126953125
MiW,16181,1.5499999523162842,978.0,995.0,538.969970703125,2.0,21.0,311.23291015625
MiW,8265,1.5499999523162842,978.0,995.0,540.4500122070312,2.0,21.0,313.1822204589844
MiW,14080,1.5199999809265137,978.0,995.0,532.7000122070312,2.0,21.0,310.3036499023437
MiW,16146,1.559999942779541,978.0,995.0,538.47998046875,2.0,21.0,311.67547607421875
MiW,11542,1.690000057220459,978.0,995.0,526.280029296875,2.0,21.0,315.0462341308594
MiW,14075,1.5299999713897705,978.0,995.0,530.7999877929688,2.0,21.0,308.48211669921875
MiW,1970,1.7000000476837158,978.0,995.0,533.2000122070312,2.0,21.0,318.4753723144531
MiW,8265,1.5499999523162842,978.0,995.0,543.77001953125,2.0,21.0,312.7567443847656
MiW,3995,1.5700000524520874,983.0,995.0,507.2799987792969,2.0,21.0,316.6859436035156
MiW,11311,1.1799999475479126,978.0,995.0,521.5399780273438,19.0,21.0,295.7653503417969
MiW,2138,1.7100000381469729,978.0,995.0,518.530029296875,2.0,21.0,314.20465087890625
MiW,9000,1.3200000524520874,978.0,995.0,524.530029296875,2.0,21.0,305.7197265625
MPW,9167,1.090000033378601,983.0,983.0,501.1799926757813,24.0,18.0,297.1321716308594
MPW,2518,0.3499999940395355,991.0,995.0,501.6600036621094,37.0,54.0,294.4317321777344
Default,23886,0.6700000166893005,965.0,960.0,512.6699829101562,14.0,49.0,291.828369140625
Default,2295,0.8799999952316284,965.0,967.0,502.9500122070313,23.0,18.0,297.0762939453125
Default,7602,0.4699999988079071,999.0,993.0,525.3099975585938,58.0,72.0,296.41998291015625
MaP,21413,0.959999978542328,961.0,996.0,579.8200073242188,20.0,37.0,298.8038330078125
MaP,10301,1.590000033378601,951.0,989.0,519.7100219726562,24.0,3.0,300.3931884765625
MaP,12369,6.690000057220459,961.0,989.0,512.0900268554688,24.0,1.0,310.63897705078125
MaP,11025,0.4300000071525574,931.0,993.0,503.9200134277344,24.0,49.0,310.05535888671875
MaP,21151,1.1100000143051147,955.0,993.0,553.5800170898438,24.0,22.0,302.39801025390625
MaP,20009,1.590000033378601,961.0,996.0,502.9500122070313,20.0,3.0,303.8902282714844
MaP,10907,0.699999988079071,961.0,993.0,531.989990234375,24.0,37.0,312.00592041015625
MaP,7890,0.8399999737739563,951.0,989.0,515.9600219726562,24.0,22.0,325.4522399902344
MaP,22125,0.5099999904632568,951.0,993.0,537.1900024414062,24.0,37.0,309.087646484375
MaP,14584,0.6200000047683716,955.0,996.0,573.1500244140625,20.0,37.0,304.3559265136719
MaP,16893,0.75,961.0,989.0,573.7999877929688,24.0,37.0,303.092529296875
MaP,13277,1.1399999856948853,961.0,996.0,541.4600219726562,24.0,22.0,321.7929992675781
MaP,17359,1.2400000095367432,970.0,1000.0,553.77001953125,48.0,18.0,290.93768310546875
MaP,13014,1.440000057220459,961.0,989.0,517.3800048828125,24.0,3.0,316.06121826171875
MaP,22514,2.9800000190734863,961.0,989.0,559.77001953125,20.0,3.0,314.4284362792969
MaP,19522,0.7599999904632568,961.0,989.0,576.5499877929688,24.0,37.0,299.64215087890625
MaP,13666,0.9100000262260436,961.0,996.0,554.989990234375,20.0,37.0,306.1369934082031
MaP,14207,0.75,961.0,989.0,564.75,24.0,37.0,312.3028869628906
MaP,21535,0.959999978542328,961.0,989.0,577.77001953125,24.0,37.0,299.4250793457031
MaP,16995,2.9600000381469727,961.0,989.0,563.989990234375,20.0,3.0,312.2676086425781
MaP,8363,0.6899999976158142,956.0,989.0,547.1199951171875,24.0,37.0,319.4517822265625
MaP,10788,0.6399999856948853,956.0,996.0,537.4500122070312,20.0,37.0,314.83795166015625
MaP,28222,1.2599999904632568,956.0,989.0,575.0800170898438,20.0,3.0,299.0966186523437
MaP,21544,6.070000171661377,996.0,993.0,481.5700073242188,19.0,1.0,296.4755249023437
MaP,8190,0.949999988079071,956.0,989.0,564.9600219726562,20.0,37.0,312.3851318359375
MaP,7999,0.8700000047683716,956.0,996.0,532.02001953125,20.0,37.0,319.599609375
MaP,5480,0.6200000047683716,956.0,989.0,534.0399780273438,20.0,37.0,319.2522888183594
MaP,19400,0.6899999976158142,956.0,989.0,539.9199829101562,24.0,37.0,319.4867553710937
MaP,25181,1.0399999618530271,961.0,989.0,533.9600219726562,20.0,37.0,312.01202392578125
MaP,17085,0.6899999976158142,961.0,996.0,568.0900268554688,24.0,37.0,315.94073486328125
MaP,8647,0.5600000023841858,956.0,996.0,537.4000244140625,20.0,37.0,315.32794189453125
MaP,13529,0.6499999761581421,956.0,989.0,529.3699951171875,20.0,37.0,322.1958923339844
MaP,13902,0.5899999737739563,956.0,989.0,529.4400024414062,20.0,37.0,314.79901123046875
MaP,25773,0.699999988079071,961.0,989.0,552.6400146484375,24.0,37.0,316.0439147949219
MaP,25740,0.5099999904632568,996.0,996.0,529.739990234375,19.0,37.0,290.8232421875
MaP,16646,0.6899999976158142,961.0,989.0,541.3800048828125,24.0,37.0,315.2525634765625
MaP,5625,0.550000011920929,956.0,989.0,521.5700073242188,20.0,37.0,315.9673767089844
MaP,11403,0.5799999833106995,956.0,989.0,541.7999877929688,20.0,37.0,312.04156494140625
MaP,11805,0.550000011920929,956.0,996.0,564.7999877929688,20.0,37.0,312.1962585449219
MaP,14603,0.6000000238418579,961.0,989.0,555.219970703125,24.0,37.0,311.7319030761719
MaP,8348,0.699999988079071,961.0,996.0,537.1599731445312,24.0,37.0,319.01641845703125
MaP,16646,0.6899999976158142,961.0,989.0,536.239990234375,24.0,37.0,321.8956298828125
MaP,5900,0.5400000214576721,956.0,996.0,551.1599731445312,20.0,37.0,315.50421142578125
MaP,14651,0.5899999737739563,961.0,989.0,553.0900268554688,24.0,37.0,314.6441955566406
MaP,8643,0.6299999952316284,956.0,996.0,561.5399780273438,24.0,37.0,311.21197509765625
MaP,16377,0.8799999952316284,955.0,993.0,572.260009765625,70.0,37.0,287.60809326171875
MaP,14688,0.5899999737739563,961.0,996.0,554.0499877929688,24.0,37.0,316.6839904785156
MaP,8812,0.5899999737739563,956.0,996.0,561.7899780273438,24.0,37.0,311.7181701660156
MaP,20896,0.6200000047683716,961.0,989.0,562.27001953125,24.0,37.0,314.1996765136719
MaP,14792,0.6299999952316284,961.0,989.0,560.030029296875,24.0,37.0,312.8789367675781
MaP,8745,0.6499999761581421,961.0,989.0,556.2100219726562,24.0,37.0,312.3628845214844
MaP,14716,0.6399999856948853,961.0,989.0,559.3099975585938,24.0,37.0,312.22711181640625
MaP,29433,0.6399999856948853,961.0,989.0,558.6199951171875,24.0,37.0,311.9451599121094
MaP,8851,0.6000000238418579,961.0,996.0,554.6099853515625,20.0,37.0,318.3986511230469
MaP,14751,0.6399999856948853,961.0,996.0,560.0800170898438,24.0,37.0,313.2066345214844
MaP,17911,0.6299999952316284,961.0,989.0,569.8400268554688,24.0,37.0,314.9369812011719
MaP,24924,2.9600000381469727,961.0,989.0,578.1099853515625,20.0,3.0,289.7924499511719
MaP,26626,0.6399999856948853,961.0,989.0,560.5599975585938,24.0,37.0,313.4917907714844
MaP,8830,0.6000000238418579,961.0,989.0,553.1500244140625,20.0,37.0,317.13262939453125
MaP,20570,0.6700000166893005,961.0,989.0,580.22998046875,24.0,37.0,311.4070129394531
MaP,17825,0.6399999856948853,961.0,996.0,570.719970703125,24.0,37.0,312.3641357421875
MaP,14778,0.6499999761581421,961.0,996.0,568.3599853515625,24.0,37.0,310.5771789550781
MaP,17786,0.6399999856948853,961.0,996.0,577.8800048828125,24.0,37.0,307.8955383300781
MaP,14751,0.6499999761581421,961.0,996.0,568.4600219726562,24.0,37.0,311.303955078125
MaP,17786,0.6299999952316284,961.0,996.0,568.780029296875,24.0,37.0,313.7928466796875
MaP,8931,0.6299999952316284,961.0,996.0,570.1699829101562,24.0,37.0,311.9734802246094
MaP,11730,0.6399999856948853,961.0,996.0,565.280029296875,24.0,37.0,308.2647705078125
