1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Best
39,25,65,73,87,41,53,39,46,65,70,90,28,46,83,23,22,39,50,50,79,32,84,46,90,92,58,40,89,35,80,26,40,20,48,97,90,75,53,75,73,35,41,28,43,34,65,41,62,100,50,87,84,89,22,87,26,75,34,92,100,97,44,30,80,21,78,50,100,95,96,53,84,96,87,87,62,90,87,50,78,87,26,60,34,28,61,56,89,27,100,75,50,100,100,100,20,50,50,50,100,28,100,50,50,100,61,50,24,100,62,50,70,62,62,72,65,65,62,72,BF
75,98,29,36,67,78,92,63,85,39,29,23,77,35,50,54,100,43,73,96,54,29,38,29,100,38,41,33,67,50,61,35,69,33,54,92,21,37,21,41,40,63,86,29,89,48,47,55,31,73,40,37,72,53,35,89,96,54,86,43,21,25,29,92,84,81,78,43,89,96,54,31,69,72,96,89,95,54,29,97,100,50,61,25,55,59,89,53,81,95,85,55,75,81,36,100,23,29,83,29,50,84,66,85,100,96,100,50,100,50,54,98,69,50,100,69,50,65,67,75,BF
59,63,98,91,70,28,80,62,28,63,21,91,72,72,22,76,30,29,59,52,22,90,32,85,32,32,91,76,81,81,78,94,98,32,100,50,56,59,28,30,72,47,44,88,98,81,20,80,30,91,93,62,57,39,52,59,27,70,47,72,98,81,22,94,42,30,97,91,98,69,69,85,96,100,52,81,47,74,78,52,53,98,28,59,35,64,85,79,98,28,76,64,80,55,35,91,81,35,98,93,57,31,98,100,59,28,72,98,91,21,24,24,52,100,59,22,69,42,71,52,BF
29,60,32,36,29,24,32,23,34,66,90,30,57,47,46,98,30,59,90,90,60,59,32,68,23,70,90,60,90,57,96,60,79,27,30,20,49,67,34,52,57,41,77,36,47,57,95,36,90,92,46,60,35,94,97,53,24,36,70,31,90,87,60,36,42,90,60,49,27,59,42,20,39,20,53,38,58,82,82,82,91,59,90,31,26,90,90,31,96,75,96,96,97,53,97,98,83,99,99,93,53,52,60,67,68,38,29,46,54,75,70,54,54,79,57,68,29,68,94,56,BF
75,79,70,64,26,22,31,31,56,51,71,95,93,54,56,95,51,49,30,39,22,34,41,95,43,75,79,85,99,29,65,48,39,22,23,31,34,51,58,46,69,81,51,65,75,34,63,41,41,45,94,70,64,80,59,30,59,56,54,26,71,40,94,79,56,54,31,30,77,94,95,29,56,92,97,77,75,87,51,31,63,21,99,51,83,34,65,99,75,51,85,91,92,73,95,98,75,54,100,32,52,87,63,91,73,99,65,75,27,51,79,100,49,58,83,65,49,58,59,71,BF
28,36,21,94,92,79,77,87,97,98,98,99,32,27,62,65,91,76,52,82,25,77,91,65,96,83,85,87,88,59,54,97,89,28,40,88,62,65,71,34,34,72,74,62,33,85,87,92,67,25,73,61,95,29,84,58,36,93,99,66,88,96,82,22,34,88,75,82,65,82,96,99,54,54,77,56,40,82,27,80,40,95,24,55,32,32,88,22,26,62,39,88,65,29,30,92,26,58,94,88,91,99,93,56,62,59,73,40,62,31,94,67,56,25,70,68,74,65,32,85,BF
49,100,24,20,33,44,33,33,55,85,93,89,57,29,41,94,72,64,20,55,57,45,60,60,44,57,80,48,78,60,52,57,21,80,33,29,40,70,28,48,29,61,90,89,78,98,85,100,81,22,49,80,89,100,49,64,94,88,93,45,93,52,72,33,57,85,93,94,100,84,57,49,98,31,65,22,100,98,69,100,70,82,49,49,100,93,24,100,49,52,21,94,57,79,100,26,100,100,99,49,57,60,49,49,70,30,21,24,66,78,60,32,33,61,72,100,68,49,70,80,BF
62,22,60,60,20,93,70,35,43,34,35,38,79,82,44,77,89,89,60,71,98,73,60,50,41,77,83,22,60,38,71,46,32,24,60,44,50,99,87,95,74,60,93,85,65,53,80,83,20,56,88,99,78,62,87,95,96,41,65,72,34,55,83,43,32,45,20,21,20,35,25,79,35,92,87,95,81,55,35,23,98,52,88,35,62,82,22,91,69,41,92,35,98,52,98,52,24,89,91,60,75,76,23,83,35,24,35,79,41,32,71,85,65,95,99,74,50,98,55,52,BF
28,56,93,35,41,78,22,83,46,80,21,93,86,84,92,31,23,72,65,36,98,52,73,35,47,22,55,81,92,35,33,49,74,74,42,92,83,93,84,56,75,57,22,23,99,67,92,23,50,57,95,98,34,81,83,52,93,36,78,75,27,86,98,81,81,55,98,52,99,64,50,67,52,81,79,81,95,55,57,92,94,98,90,75,52,56,93,79,60,57,69,75,28,66,69,26,69,72,69,35,71,99,50,69,84,23,85,91,31,71,28,69,85,34,65,66,31,81,95,55,BF
57,32,67,98,76,32,77,61,42,31,44,80,43,34,39,45,39,34,81,20,99,50,66,69,37,81,35,69,64,61,94,32,82,76,81,46,32,34,37,81,32,74,92,57,83,44,76,44,50,92,57,48,23,54,86,99,83,24,25,90,48,26,50,92,60,70,64,67,80,96,54,80,83,76,56,74,25,81,94,86,86,99,46,96,88,76,98,96,74,73,61,54,54,99,88,96,69,48,54,56,67,64,34,24,48,24,42,99,99,48,70,99,91,38,96,50,59,48,77,54,BF
26,56,87,40,68,23,22,81,59,27,38,26,95,49,60,44,47,75,76,84,44,44,49,29,20,22,92,84,81,45,95,85,27,28,29,55,89,95,100,78,27,28,23,98,49,32,81,89,61,21,33,84,34,25,100,85,91,73,93,69,71,57,80,59,63,29,32,49,86,69,63,91,81,27,32,96,100,78,23,95,86,100,49,54,55,69,59,63,42,76,69,34,42,93,34,83,23,44,74,91,23,85,95,93,49,71,100,100,100,49,100,49,49,49,27,28,57,63,59,78,BF
56,42,83,28,92,90,31,29,24,47,55,95,41,58,51,31,38,30,94,33,38,70,86,61,80,58,44,82,27,80,86,34,90,83,39,21,42,81,29,77,92,99,51,58,70,30,20,95,55,40,39,49,47,54,67,42,71,45,92,40,77,81,24,33,72,82,79,69,58,39,29,80,92,83,82,95,95,58,95,99,51,75,55,77,83,99,55,91,66,58,73,68,99,23,70,70,83,51,34,96,51,55,92,53,72,58,86,67,39,67,37,99,92,25,28,70,30,80,58,92,BF
62,96,24,54,60,30,65,72,92,81,34,78,100,50,88,35,23,95,76,55,62,45,51,54,35,78,96,78,54,63,34,96,54,72,32,79,67,60,55,59,52,23,62,25,76,85,65,51,69,45,74,55,23,54,76,24,62,43,89,85,27,81,80,97,39,92,21,100,50,93,52,58,23,87,36,65,70,36,88,78,20,36,79,45,85,85,80,84,33,92,63,92,95,58,74,96,98,52,54,55,98,52,98,62,61,76,65,96,72,24,70,69,65,72,54,65,70,51,58,78,BF
54,47,46,60,34,91,34,46,74,29,70,20,89,93,80,83,83,46,35,63,96,91,54,61,67,38,21,68,22,49,55,66,29,90,96,54,35,77,74,84,42,81,83,42,42,49,53,91,23,58,97,24,72,57,53,21,33,80,70,34,46,25,24,70,81,74,95,32,42,88,96,81,88,84,74,83,98,86,50,86,54,40,27,77,62,23,88,81,27,25,96,94,27,27,63,96,97,54,46,97,53,66,98,52,23,62,71,63,96,69,69,97,80,89,61,22,33,53,67,70,BF
26,21,32,90,89,60,73,41,40,37,75,98,89,31,61,39,75,28,61,56,36,64,50,24,47,81,89,60,98,52,47,68,100,32,69,87,69,35,50,44,87,81,22,78,51,91,99,73,87,78,98,89,52,79,61,94,51,69,20,31,98,52,35,94,74,26,78,37,98,98,26,24,29,31,25,21,44,85,92,23,69,89,61,81,35,29,81,36,98,52,76,92,89,35,75,84,100,94,94,50,29,98,56,100,26,61,94,66,69,47,52,72,72,22,72,74,26,29,69,75,BF
85,37,79,94,83,32,24,31,49,51,68,46,31,84,20,94,77,88,54,81,36,38,73,37,70,60,69,51,28,70,20,85,47,49,58,38,82,93,54,57,88,40,94,54,68,73,77,66,22,83,21,72,51,94,32,70,26,80,86,77,85,54,91,94,88,24,65,94,54,77,54,64,38,70,98,30,31,51,32,100,73,93,85,81,86,49,78,32,94,88,82,100,49,82,99,51,54,94,25,100,49,58,100,30,94,49,54,99,51,73,64,65,72,68,86,64,69,68,77,21,BF
66,58,72,76,57,73,99,75,98,52,78,84,66,72,75,94,54,70,51,54,57,40,53,64,51,20,26,87,39,93,72,84,78,25,34,66,34,73,98,31,46,41,72,53,72,66,37,64,40,25,41,21,40,54,57,78,72,24,58,62,61,53,70,57,89,90,39,29,58,30,61,60,46,77,78,99,80,97,23,84,92,73,90,53,89,20,36,31,89,51,44,98,99,51,99,99,23,60,99,99,51,70,51,66,51,99,51,58,75,75,80,90,51,58,52,61,99,72,70,61,BF
61,92,97,27,47,51,76,38,25,92,74,100,61,100,61,47,79,92,47,96,33,38,32,85,20,71,71,43,79,27,61,89,66,26,21,30,72,54,89,78,100,100,36,82,47,61,76,39,79,29,89,85,81,89,88,91,99,61,61,51,88,99,30,59,100,65,89,99,47,51,61,91,74,71,21,71,79,62,23,22,77,89,75,89,85,41,99,20,83,92,62,66,51,73,100,78,97,36,79,97,71,79,23,32,21,100,26,99,47,51,75,69,91,51,57,61,59,65,72,71,BF
91,77,91,75,27,59,47,26,41,82,32,33,71,68,88,79,75,53,86,64,47,88,91,59,53,28,45,60,45,73,44,33,53,64,33,75,72,95,24,36,44,37,75,100,79,71,50,100,83,91,75,79,70,50,35,31,72,84,80,24,87,100,94,66,84,88,33,50,30,30,63,87,78,88,94,75,56,91,59,91,66,32,35,100,26,79,50,100,50,67,39,47,24,79,87,75,84,89,33,28,63,82,91,59,68,100,100,70,100,31,50,86,72,50,64,71,23,71,77,66,BF
66,93,35,84,68,36,46,68,58,63,24,87,22,37,47,74,66,68,69,60,48,45,97,93,33,29,32,25,27,24,41,40,24,82,45,95,79,30,23,82,93,29,77,82,89,79,88,100,50,97,100,91,84,66,58,62,71,50,25,53,68,84,71,89,91,27,21,20,82,22,82,85,61,37,87,68,95,79,61,21,27,82,27,79,75,87,88,100,62,50,100,63,100,100,96,50,94,88,91,52,50,58,50,56,61,63,100,21,68,100,68,29,71,68,66,50,71,73,65,75,BF
29,63,83,91,29,68,32,67,27,54,54,54,65,54,82,89,30,96,41,88,29,61,84,83,32,87,68,42,31,85,89,60,89,69,75,32,66,94,67,75,96,54,55,20,76,77,65,27,30,75,32,96,54,22,94,86,96,80,84,54,56,41,66,41,89,87,37,72,75,23,89,61,36,89,93,75,36,61,77,87,41,100,83,48,21,87,85,27,77,86,23,82,65,64,41,89,100,84,97,22,53,22,96,54,41,96,54,61,69,96,73,97,53,94,56,73,30,54,66,68,BF
32,40,33,25,76,30,60,20,41,41,49,66,97,33,55,29,68,98,90,30,36,35,49,59,41,82,20,48,47,76,90,81,40,98,88,51,88,34,49,37,80,98,51,33,37,94,84,78,82,55,91,32,73,59,68,44,20,24,33,90,39,28,82,90,93,55,68,60,30,51,60,74,47,98,51,29,55,30,48,55,60,64,86,76,47,34,73,98,20,51,22,80,42,82,86,84,28,98,98,51,80,81,51,73,37,98,94,51,64,55,66,68,98,69,70,90,60,76,49,22,BF
99,52,63,93,63,56,34,92,94,58,31,24,31,89,87,38,78,47,40,77,89,23,32,62,26,20,35,27,30,98,52,85,85,40,41,48,100,87,83,94,31,73,28,23,31,28,66,25,41,45,81,40,83,80,97,98,24,52,89,87,61,98,70,99,71,27,52,79,92,25,98,72,84,53,66,73,58,73,34,32,52,81,69,81,31,88,81,62,80,88,80,97,63,52,98,77,52,92,93,56,62,98,98,100,48,52,58,29,34,70,90,34,98,20,52,84,60,69,23,70,BF
22,61,92,37,46,35,70,61,80,72,21,45,77,21,95,78,26,90,96,60,83,54,91,74,88,59,61,39,50,46,29,28,100,76,45,74,86,64,45,31,83,79,86,90,90,28,94,64,97,77,79,54,80,87,96,85,100,50,26,26,100,95,92,46,61,96,73,60,100,54,70,46,54,76,55,82,26,86,65,92,22,71,87,71,92,38,32,94,27,74,29,100,46,60,57,77,68,64,96,74,66,96,73,20,97,54,70,32,100,96,80,54,74,79,71,21,54,61,46,76,BF
93,60,68,31,64,32,52,68,96,22,26,23,82,31,44,84,96,26,35,79,49,65,79,100,50,36,46,61,60,83,77,79,47,70,47,95,100,79,50,55,74,36,70,26,74,43,83,20,80,36,52,49,21,82,68,28,67,49,51,58,53,32,83,79,74,96,25,89,53,64,70,29,38,99,50,38,49,50,77,23,60,68,58,23,92,44,74,73,77,79,83,83,23,95,32,82,27,74,99,89,22,100,100,55,50,50,100,50,51,61,100,71,67,68,67,74,62,34,50,87,BF
22,86,60,61,81,85,91,93,75,64,29,72,85,21,75,69,57,25,44,83,85,88,86,37,75,89,21,35,34,21,71,79,26,94,99,65,25,79,29,81,55,90,99,92,93,79,86,73,22,50,64,57,100,78,99,50,81,50,91,66,100,50,25,50,69,98,91,68,33,52,34,98,80,79,27,77,97,81,25,60,100,50,32,81,90,25,87,89,100,50,93,25,100,32,60,61,63,99,93,50,57,99,93,99,57,70,30,71,64,50,100,51,72,21,71,21,50,69,71,69,BF
23,56,71,70,26,59,28,90,89,94,56,74,61,41,100,26,92,35,48,31,46,59,72,45,48,90,80,59,47,23,40,57,53,35,56,59,79,73,43,44,27,33,30,37,35,30,78,48,46,78,40,39,41,70,90,83,59,90,26,95,97,59,78,53,78,34,86,97,74,42,37,63,32,78,28,78,72,78,95,28,40,76,88,86,90,90,60,62,37,86,27,86,64,75,23,43,32,83,66,75,97,90,97,21,53,53,27,97,53,97,53,59,64,72,89,83,21,66,72,72,BF
37,27,56,76,98,52,30,95,78,55,36,86,90,73,99,79,73,75,60,84,50,44,86,36,34,66,56,30,70,50,84,39,52,42,30,30,57,60,39,41,43,46,65,76,39,84,36,26,74,84,66,56,70,90,82,98,87,20,99,94,61,92,75,90,27,87,24,60,76,79,84,58,30,86,92,27,60,33,75,50,64,87,52,90,56,95,97,83,58,67,91,98,97,53,100,70,52,68,98,50,55,100,52,99,75,59,50,37,98,61,66,73,60,52,75,26,61,27,74,76,BF
91,89,29,70,34,44,63,65,63,48,66,22,66,59,48,86,99,75,83,86,51,29,64,21,91,59,100,66,36,99,72,79,38,92,90,42,51,48,37,60,100,100,48,99,92,48,48,75,64,36,41,44,87,80,73,30,31,83,42,66,86,91,63,79,83,84,86,39,84,87,63,84,90,92,98,77,60,100,75,48,99,52,99,78,100,100,81,85,49,57,51,20,21,51,66,66,22,89,49,21,64,100,48,71,61,36,29,70,72,69,90,66,75,100,66,75,60,29,75,21,BF
48,35,27,98,77,88,40,97,62,53,52,78,48,35,38,52,62,75,45,99,48,62,99,30,76,47,53,36,97,96,53,36,47,36,53,94,97,31,73,53,45,63,65,94,32,80,40,50,94,62,22,45,62,83,88,24,88,78,91,77,26,99,78,84,84,51,66,67,35,40,88,62,90,94,78,25,60,97,66,70,99,53,72,62,92,20,31,58,78,78,83,51,42,90,33,92,87,94,22,73,99,99,63,55,51,25,68,51,70,72,24,83,68,88,58,62,98,82,27,52,BF
95,61,100,97,49,29,35,38,60,62,20,83,74,94,49,77,24,82,56,68,83,41,86,41,24,62,44,49,42,87,28,39,41,29,100,38,79,96,81,77,54,87,35,28,42,46,46,95,83,87,84,87,54,96,54,94,67,62,74,76,27,32,76,35,89,24,66,88,100,83,25,61,72,28,63,74,50,86,31,89,20,61,65,35,54,56,56,42,59,54,24,58,94,73,38,27,23,29,100,50,94,31,49,77,82,56,95,54,38,31,81,56,68,23,76,100,50,74,56,94,BF
56,42,65,62,53,23,32,34,70,95,62,99,56,24,20,82,51,78,92,58,42,65,74,82,43,71,53,82,80,91,59,82,74,96,78,80,53,95,53,81,43,65,48,76,99,100,81,76,92,23,91,59,77,92,46,82,51,82,58,29,82,36,87,40,29,84,83,82,83,94,66,88,88,90,96,56,91,100,62,32,23,94,71,49,21,53,95,59,62,60,95,70,70,86,100,49,28,74,24,96,24,53,27,56,53,40,67,84,30,24,36,68,68,68,68,87,67,73,100,49,BF
77,46,70,54,31,69,46,32,54,80,93,56,64,26,90,70,100,71,87,28,31,37,92,22,77,84,31,46,67,99,83,82,75,93,88,90,26,80,20,27,83,51,60,33,83,27,62,74,45,66,33,83,28,47,53,37,47,80,66,83,66,97,53,39,66,83,49,54,35,70,87,47,92,80,24,31,32,40,95,60,90,22,81,79,34,20,97,100,47,53,87,83,97,88,93,21,56,90,26,100,93,69,23,71,53,59,46,67,54,28,100,34,47,77,73,27,67,83,83,33,BF
72,51,26,30,95,84,44,69,30,28,31,51,88,29,73,80,69,33,83,95,88,22,55,67,80,81,30,30,48,98,87,84,69,65,51,48,69,72,71,20,55,59,71,67,92,25,95,51,20,29,48,46,24,46,29,34,57,51,98,59,43,63,90,48,88,24,20,57,44,43,51,65,68,55,27,98,52,36,48,73,51,34,98,73,55,78,88,59,88,33,78,22,95,98,55,92,92,95,55,52,33,57,29,72,84,31,29,44,81,93,79,69,35,96,25,28,90,54,59,71,BF
24,66,97,79,85,100,83,92,78,100,91,76,96,50,58,54,47,58,65,67,100,82,81,100,76,100,71,47,50,47,97,29,32,89,21,33,32,24,27,35,65,45,80,33,50,86,31,43,20,81,37,96,74,54,67,58,85,65,74,50,58,64,100,50,65,24,45,91,71,94,87,89,26,31,55,61,27,96,40,79,58,100,85,62,33,32,73,50,65,28,54,83,92,58,91,83,77,100,75,50,85,91,37,47,22,85,31,92,58,100,29,100,65,93,50,67,67,34,50,75,BF
33,75,72,94,20,33,49,94,32,83,38,87,54,23,22,100,83,76,100,29,33,91,50,24,38,43,50,88,67,29,26,94,52,83,90,81,36,27,87,94,33,91,77,98,78,24,74,28,56,68,26,20,77,84,65,81,68,36,90,60,73,79,81,44,50,73,94,33,24,100,100,27,26,56,24,100,76,24,68,61,65,75,83,77,50,88,47,38,90,88,24,81,60,95,24,98,52,55,95,100,75,50,24,100,47,53,24,67,43,73,26,75,75,91,38,29,60,90,20,30,BF
82,35,60,81,68,82,53,63,57,32,44,49,32,32,38,59,73,80,70,29,60,48,90,44,49,28,89,80,72,29,41,22,48,77,49,50,51,35,91,68,88,40,41,59,20,59,32,81,24,77,41,41,49,29,96,77,88,49,37,61,28,21,89,51,55,97,82,72,88,44,82,68,53,97,53,22,36,38,42,78,82,82,91,25,68,89,82,31,26,28,80,91,72,82,92,97,53,97,24,98,53,57,59,68,24,97,49,53,100,68,68,61,78,49,91,70,68,34,25,82,BF
83,91,25,62,33,83,27,43,39,25,94,57,25,56,20,66,79,96,78,83,33,21,82,90,28,40,62,34,82,91,59,75,43,42,24,72,43,58,58,29,66,91,34,58,42,34,42,90,81,39,21,86,41,23,62,53,97,34,49,82,38,35,78,89,91,29,98,59,88,78,51,77,86,32,35,63,32,80,81,25,91,83,92,98,74,59,51,73,76,84,86,91,98,99,98,59,94,98,56,51,51,51,26,63,69,58,72,76,67,99,33,51,70,51,72,62,74,66,72,78,BF
57,98,100,22,29,73,33,96,73,90,85,76,21,84,88,37,66,76,100,69,44,23,33,100,29,20,28,65,29,23,85,35,36,34,44,80,100,21,36,61,50,98,32,42,73,99,85,84,65,35,79,85,98,51,87,52,92,31,77,27,20,80,99,30,84,90,99,23,93,92,28,51,60,78,100,50,93,58,34,29,88,88,90,95,28,100,74,50,60,34,100,21,50,100,65,100,100,50,100,23,100,71,66,50,72,50,50,100,62,62,76,21,62,73,50,100,43,29,66,69,BF
93,83,97,32,78,57,80,67,36,43,93,51,51,89,76,34,47,95,55,36,50,40,29,21,24,64,51,51,34,49,50,69,80,60,32,58,24,66,54,30,44,83,55,65,72,78,30,31,70,67,83,60,49,93,57,95,55,94,89,32,80,22,93,78,57,75,82,93,97,28,92,76,76,86,83,93,57,97,100,58,76,77,80,70,24,51,93,87,97,57,24,51,50,67,95,98,30,93,22,57,93,99,51,57,64,63,73,74,99,75,51,72,57,31,74,24,70,32,74,36,BF
52,56,41,79,71,48,41,77,65,59,40,77,94,82,33,91,98,97,52,99,79,29,82,28,24,28,59,72,71,40,64,87,98,78,28,86,84,64,86,52,90,94,56,30,91,75,80,81,59,34,94,56,33,65,22,47,86,98,52,81,64,97,91,59,31,52,75,79,98,89,60,68,86,31,64,91,94,70,98,71,28,98,97,52,97,98,99,30,52,79,21,52,51,59,71,31,22,80,89,29,94,99,70,22,24,26,56,79,56,81,91,59,52,34,94,27,91,71,59,69,BF
46,50,32,50,69,44,96,73,89,79,70,84,96,77,76,77,53,84,93,75,91,61,33,77,66,80,31,83,96,53,67,66,72,34,50,85,83,100,50,26,41,91,39,59,91,74,81,20,26,98,88,25,50,77,84,100,80,83,69,66,91,77,50,24,36,30,23,83,95,29,22,32,42,45,89,84,38,84,84,100,96,50,54,96,53,23,93,37,20,100,74,66,100,70,50,50,22,100,50,100,73,72,67,50,73,77,100,50,92,35,66,73,23,20,67,23,66,83,100,50,BF
62,39,48,38,35,44,46,39,42,23,62,33,74,67,47,38,38,36,87,27,47,49,36,79,22,30,27,60,86,33,64,34,36,79,86,82,78,74,79,63,84,87,94,94,56,90,56,77,39,84,68,63,92,27,92,74,25,97,82,78,52,49,82,86,83,39,33,28,94,79,92,66,87,94,84,56,99,86,38,86,98,64,97,25,28,56,63,49,56,99,72,49,25,28,26,99,88,38,94,56,21,49,68,71,23,62,27,98,96,94,71,67,73,39,52,21,72,68,33,56,BF
28,50,22,30,87,20,94,68,55,42,98,55,45,36,41,86,37,84,69,79,45,51,50,70,83,33,94,61,89,93,45,55,51,37,42,61,52,20,47,61,59,98,91,37,100,61,21,20,42,21,66,100,27,23,34,50,84,71,66,52,55,87,30,50,42,76,23,37,93,69,93,57,91,81,76,20,80,79,81,87,57,39,77,61,91,20,37,91,27,93,89,57,59,87,93,94,57,56,100,100,74,61,100,69,73,100,50,70,73,100,93,50,50,50,57,50,59,71,61,77,BF
92,34,79,82,48,92,29,84,34,60,31,34,81,45,20,92,29,62,78,92,100,45,35,84,84,87,57,78,42,45,31,94,86,71,90,69,81,75,60,84,64,35,100,24,66,45,55,77,82,34,34,94,86,97,64,89,96,100,78,84,55,73,86,27,21,29,66,54,78,21,81,37,79,22,29,69,84,83,84,75,39,87,95,83,35,83,24,31,80,27,24,95,100,66,90,59,62,24,45,55,42,87,100,66,45,93,86,71,57,100,25,45,64,70,62,66,71,71,66,84,BF
